date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Bolton 033E,E01004876,785,0,227,207,136,171,34,7,2,1
2021,Bolton 034A,E01004903,578,0,135,190,123,98,24,6,2,0
2021,Bolton 034B,E01004904,740,0,230,245,136,98,25,3,3,0
2021,Bolton 034C,E01004905,675,0,220,189,138,75,33,17,2,1
2021,Bolton 034D,E01004907,545,0,173,153,103,76,29,8,1,2
2021,Bolton 034E,E01004908,558,0,160,204,92,73,22,6,1,0
2021,Bolton 034F,E01004909,638,0,254,182,93,77,20,8,3,1
2021,Bolton 034G,E01004910,928,0,337,272,174,98,34,10,2,1
2021,Bolton 035A,E01004933,573,0,161,207,115,71,14,3,1,1
2021,Bolton 035B,E01004934,554,0,107,191,122,92,36,5,0,1
2021,Bolton 035C,E01004935,752,0,195,241,153,123,29,8,1,2
2021,Bolton 035D,E01004937,625,0,108,230,115,135,30,6,0,1
2021,Bolton 035E,E01004940,606,0,134,255,114,77,20,5,1,0
2021,Bury 001A,E01005014,759,0,311,296,69,65,13,2,3,0
2021,Bury 001B,E01005015,688,0,240,241,107,61,29,7,2,1
2021,Bury 001C,E01005016,712,0,243,269,108,73,18,0,1,0
2021,Bury 001D,E01005017,774,0,209,258,159,117,23,6,2,0
2021,Bury 001E,E01005018,722,0,252,244,129,77,18,1,1,0
2021,Bury 001F,E01005021,421,0,100,156,62,80,17,5,0,1
2021,Bury 002A,E01005019,623,0,142,261,101,92,14,7,5,1
2021,Bury 002B,E01005023,546,0,157,202,82,86,14,4,0,1
2021,Bury 002C,E01005046,679,0,215,264,84,87,25,4,0,0
2021,Bury 002D,E01005048,660,0,104,304,105,112,29,5,1,0
2021,Bury 003A,E01005020,501,0,59,193,119,103,23,4,0,0
2021,Bury 003B,E01005022,635,0,169,222,130,85,21,7,1,0
2021,Bury 003C,E01005047,590,0,130,264,75,100,19,2,0,0
2021,Bury 003D,E01005049,753,0,242,275,124,89,15,8,0,0
2021,Bury 003E,E01005051,693,0,246,245,111,69,20,1,1,0
2021,Bury 004A,E01004976,642,0,196,219,104,57,40,13,5,8
2021,Bury 004B,E01004977,793,0,313,266,113,72,23,4,2,0
2021,Bury 004C,E01004978,658,0,163,204,107,96,36,28,13,11
2021,Bury 004D,E01004981,623,0,183,231,100,76,18,13,1,1
2021,Bury 004E,E01004982,652,0,179,272,96,69,27,6,2,1
2021,Bury 005A,E01004961,630,0,201,205,105,80,32,6,1,0
2021,Bury 005B,E01004965,505,0,110,207,83,75,22,6,1,1
2021,Bury 005C,E01004966,720,0,187,226,146,107,43,9,0,2
2021,Bury 005D,E01004967,463,0,92,189,68,76,21,10,6,1
2021,Bury 006A,E01004963,694,0,226,259,123,68,15,3,0,0
2021,Bury 006B,E01004968,613,0,150,231,104,103,22,2,1,0
2021,Bury 006C,E01005050,851,0,211,272,181,133,41,7,6,0
2021,Bury 006D,E01005052,581,0,125,218,114,98,23,2,1,0
2021,Bury 006E,E01005053,633,0,159,245,122,82,16,3,2,4
2021,Bury 007A,E01004954,645,0,201,248,96,70,19,5,2,4
2021,Bury 007B,E01004955,554,0,157,179,98,78,26,12,3,1
2021,Bury 007C,E01004956,781,0,301,212,139,85,26,8,9,1
2021,Bury 007D,E01004957,792,0,276,207,151,81,44,27,6,0
2021,Bury 007E,E01004960,655,0,203,152,137,89,46,15,13,0
2021,Bury 008A,E01004958,690,0,275,205,100,59,32,11,3,5
2021,Bury 008B,E01004959,732,0,246,213,126,81,46,14,6,0
2021,Bury 008C,E01004979,672,0,219,172,100,86,47,24,13,11
2021,Bury 008D,E01004980,643,0,258,196,81,49,26,18,8,7
2021,Bury 008E,E01005024,1000,0,366,263,118,86,73,56,19,19
2021,Bury 008F,E01005026,647,0,133,147,94,106,66,41,32,28
2021,Bury 009A,E01004947,662,0,232,198,114,79,26,8,2,3
2021,Bury 009B,E01004948,841,0,353,224,120,100,32,6,2,4
