date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Manchester 052,E02001096,3426,0,1098,1065,628,379,176,56,15,9
2021,Manchester 053,E02001097,3527,0,1071,1037,689,476,175,53,19,7
2021,Manchester 054,E02006902,4356,0,1956,1915,339,102,28,12,1,3
2021,Manchester 055,E02006912,5024,0,2260,2400,303,51,5,3,2,0
2021,Manchester 056,E02006913,3186,0,1144,1063,297,244,224,105,54,55
2021,Manchester 057,E02006914,2212,0,985,917,213,62,23,7,3,2
2021,Manchester 058,E02006915,3040,0,866,740,458,395,286,163,86,46
2021,Manchester 059,E02006916,3802,0,1585,1642,340,140,64,17,9,5
2021,Manchester 060,E02006917,3816,0,1785,1751,242,32,3,1,1,1
2021,Manchester 061,E02006983,3229,0,1136,1216,410,244,135,52,28,8
2021,Manchester 062,E02006984,2970,0,1140,1364,253,123,58,20,9,3
2021,Manchester 063,E02006985,2515,0,444,433,353,433,379,220,130,123
2021,Manchester 064,E02006986,2321,0,695,586,369,268,209,123,45,26
2021,Oldham 001,E02001098,2730,0,924,993,397,287,96,22,7,4
2021,Oldham 002,E02001099,2652,0,951,878,464,264,64,23,6,2
2021,Oldham 003,E02001100,2587,0,769,956,429,301,92,29,8,3
2021,Oldham 004,E02001101,2447,0,680,923,405,328,84,17,6,4
2021,Oldham 005,E02001102,2527,0,685,870,494,334,109,23,4,8
2021,Oldham 006,E02001103,2425,0,723,892,390,330,66,19,0,5
2021,Oldham 007,E02001104,2842,0,651,925,614,439,158,39,11,5
2021,Oldham 008,E02001105,2675,0,870,936,454,289,96,20,8,2
2021,Oldham 009,E02001106,2744,0,1023,878,447,246,91,35,18,6
2021,Oldham 010,E02001107,2559,0,668,732,454,373,176,92,33,31
2021,Oldham 011,E02001108,2356,0,658,701,488,312,124,51,11,11
2021,Oldham 012,E02001109,3360,0,1198,1039,557,359,117,40,19,31
2021,Oldham 013,E02001110,2858,0,831,1114,424,388,83,10,5,3
2021,Oldham 014,E02001111,3439,0,1431,670,435,353,225,137,73,115
2021,Oldham 015,E02001112,2454,0,573,923,462,357,89,36,7,7
2021,Oldham 016,E02001113,2512,0,499,397,335,393,353,253,153,129
2021,Oldham 017,E02001114,3495,0,1154,977,530,427,209,120,54,24
2021,Oldham 018,E02001115,2603,0,806,920,433,320,94,19,2,9
2021,Oldham 019,E02001116,2387,0,528,624,322,296,258,162,96,101
2021,Oldham 020,E02001117,2623,0,779,939,419,378,89,12,4,3
2021,Oldham 021,E02001118,2627,0,739,994,414,380,65,24,5,6
2021,Oldham 022,E02001119,2872,0,491,396,304,402,456,314,228,281
2021,Oldham 024,E02001121,2465,0,613,451,316,333,303,231,100,118
2021,Oldham 026,E02001123,2788,0,843,818,465,378,150,83,29,22
2021,Oldham 027,E02001124,2807,0,1010,732,443,296,168,92,49,17
2021,Oldham 028,E02001125,3337,0,1055,1056,569,419,145,60,24,9
2021,Oldham 029,E02001126,3362,0,921,936,623,427,245,123,49,38
2021,Oldham 030,E02001127,2941,0,780,851,538,425,192,116,24,15
2021,Oldham 031,E02001128,3283,0,1078,1068,591,365,111,50,14,6
2021,Oldham 032,E02001129,3065,0,1118,983,505,292,101,46,14,6
2021,Oldham 033,E02001130,2588,0,827,891,452,309,80,18,9,2
2021,Oldham 034,E02001131,2307,0,639,797,449,298,83,33,5,3
2021,Oldham 036,E02007000,2196,0,508,396,315,327,297,162,73,118
2021,Oldham 037,E02007001,2220,0,372,415,320,311,321,234,112,135
2021,Rochdale 001,E02001132,3055,0,1072,1069,469,324,80,34,5,2
2021,Rochdale 002,E02001133,2737,0,687,1024,473,396,98,46,9,4
2021,Rochdale 003,E02001134,2653,0,712,1030,421,358,84,26,14,8
2021,Rochdale 004,E02001135,3198,0,1111,738,498,367,268,125,53,38
2021,Rochdale 005,E02001136,3739,0,1119,1283,554,432,209,77,35,30
2021,Rochdale 006,E02001137,2612,0,663,1001,482,313,109,30,9,5
2021,Rochdale 007,E02001138,3646,0,1010,1371,567,491,137,48,11,11
2021,Rochdale 008,E02001139,3247,0,850,661,470,429,395,223,115,104
2021,Rochdale 009,E02001140,3050,0,887,855,497,412,192,120,54,33
2021,Rochdale 010,E02001141,4583,0,1781,961,574,506,372,220,104,65
2021,Rochdale 011,E02001142,2429,0,656,897,368,303,123,46,18,18
2021,Rochdale 012,E02001143,4047,0,1083,1010,673,542,369,226,94,50
2021,Rochdale 013,E02001144,2860,0,961,982,472,323,88,23,7,4
2021,Rochdale 014,E02001145,3078,0,898,1119,541,391,93,24,9,3
2021,Rochdale 015,E02001146,3084,0,729,603,447,469,389,235,116,96
2021,Rochdale 016,E02001147,4139,0,1212,1205,769,554,269,80,31,19
2021,Rochdale 017,E02001148,4383,0,1392,1415,759,485,216,72,24,20
2021,Rochdale 018,E02001149,4814,0,1880,1455,763,442,193,64,15,2
2021,Rochdale 019,E02001150,3695,0,1041,1221,695,477,181,56,18,6
2021,Rochdale 020,E02001151,4186,0,1180,1384,786,594,170,49,14,9
2021,Rochdale 021,E02001152,4131,0,1281,1331,730,484,200,77,19,9
2021,Rochdale 022,E02001153,4937,0,1482,1422,908,670,284,116,36,19
2021,Rochdale 023,E02001154,4383,0,1389,1420,788,540,174,51,14,7
2021,Rochdale 024,E02001155,3447,0,1425,1045,517,304,111,32,8,5
2021,Rochdale 025,E02001156,4098,0,1141,1352,729,607,199,47,15,8
2021,Salford 001,E02001157,3466,0,1094,910,637,481,204,105,24,11
2021,Salford 002,E02001158,2723,0,1022,815,419,287,133,34,8,5
2021,Salford 003,E02001159,3258,0,1043,1070,562,376,143,46,14,4
2021,Salford 004,E02001160,2864,0,741,890,572,404,175,52,22,8
2021,Salford 005,E02001161,2665,0,912,928,423,254,112,21,12,3
2021,Salford 006,E02001162,2687,0,981,862,467,245,91,32,7,2
2021,Salford 007,E02001163,4428,0,1402,1592,706,525,146,42,11,4
2021,Salford 008,E02001164,2842,0,814,927,534,396,123,33,12,3
