date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Dudley 035,E02002034,8168,335,7,21,69,212,26,104,44,55,5,155,47,17,56,35,7524,7253,47,5,1,218,50,27,23
2021,Dudley 036,E02002035,6117,573,15,29,369,100,60,122,41,66,15,163,39,10,95,19,5135,5024,52,2,1,56,124,29,95
2021,Dudley 037,E02002036,6662,1504,0,25,59,1305,115,119,66,37,16,184,63,9,87,25,4758,4480,67,15,8,188,97,59,38
2021,Dudley 038,E02002037,5922,113,3,4,84,17,5,30,11,17,2,150,34,14,76,26,5609,5503,47,3,0,56,20,2,18
2021,Dudley 039,E02002038,9610,519,21,63,198,100,137,231,109,98,24,279,75,19,128,57,8197,7984,45,1,1,166,384,317,67
2021,Dudley 040,E02002039,6208,527,0,40,156,276,55,80,41,15,24,150,50,4,60,36,5412,5252,30,6,6,118,39,8,31
2021,Dudley 041,E02002040,5941,239,1,20,139,56,23,27,5,19,3,85,35,7,26,17,5543,5442,24,1,0,76,47,12,35
2021,Dudley 042,E02002041,6273,656,4,14,234,353,51,111,64,30,17,165,48,9,96,12,5249,5143,22,3,0,81,92,15,77
2021,Dudley 043,E02002042,8026,284,8,10,161,66,39,72,17,40,15,166,51,5,76,34,7416,7313,35,1,2,65,88,46,42
2021,Sandwell 001,E02002043,8758,1423,713,15,475,154,66,281,125,108,48,279,64,21,153,41,6644,6372,20,0,0,252,131,37,94
2021,Sandwell 002,E02002044,8052,2421,337,41,1585,273,185,709,238,372,99,404,72,62,200,70,4236,3997,16,0,1,222,282,20,262
2021,Sandwell 003,E02002045,7812,920,267,41,479,65,68,335,143,129,63,218,48,13,109,48,6223,6006,14,5,9,189,116,13,103
2021,Sandwell 004,E02002046,5715,367,25,10,192,80,60,384,99,250,35,259,39,7,178,35,4643,4397,15,0,0,231,62,8,54
2021,Sandwell 005,E02002047,7553,1382,823,11,427,60,61,235,92,105,38,204,39,11,123,31,5610,5326,24,4,8,248,122,52,70
2021,Sandwell 006,E02002048,6828,2040,93,15,1566,255,111,360,71,260,29,217,71,11,80,55,3944,3732,81,2,0,129,267,13,254
2021,Sandwell 007,E02002049,6308,482,21,0,295,121,45,405,163,190,52,206,49,10,114,33,5154,4903,33,22,4,192,61,9,52
2021,Sandwell 009,E02002051,6169,519,43,15,326,76,59,405,171,131,103,191,34,9,135,13,4964,4716,14,5,1,228,90,22,68
2021,Sandwell 010,E02002052,11368,2291,161,8,1728,205,189,1273,355,635,283,514,98,39,324,53,6968,6306,25,5,26,606,322,9,313
2021,Sandwell 011,E02002053,6322,1514,174,20,954,210,156,902,301,495,106,348,90,20,156,82,3337,3031,111,1,9,185,221,19,202
2021,Sandwell 012,E02002054,5821,1687,110,24,1087,269,197,720,154,472,94,280,64,28,124,64,2897,2631,34,0,6,226,237,16,221
2021,Sandwell 013,E02002055,11126,3228,165,33,2379,218,433,1045,392,528,125,389,65,13,245,66,5934,5244,20,6,8,656,530,27,503
2021,Sandwell 014,E02002056,9883,851,49,21,537,142,102,656,322,223,111,394,67,19,276,32,7896,7342,24,8,4,518,86,18,68
2021,Sandwell 015,E02002057,10718,2903,731,21,1086,856,209,656,306,262,88,357,86,28,195,48,6492,5913,20,9,3,547,310,98,212
2021,Sandwell 016,E02002058,13568,4449,614,38,2319,1176,302,1189,546,491,152,473,89,24,295,65,6921,6014,20,12,16,859,536,35,501
2021,Sandwell 017,E02002059,11794,4363,431,19,2846,476,591,914,251,515,148,450,103,15,227,105,5288,4381,27,11,17,852,779,131,648
2021,Sandwell 018,E02002060,7353,2535,694,17,1050,444,330,642,247,294,101,332,68,17,211,36,3402,2846,10,24,8,514,442,86,356
2021,Sandwell 019,E02002061,7059,3454,1391,17,1136,609,301,554,237,267,50,212,48,10,111,43,2331,1881,15,1,12,422,508,154,354
2021,Sandwell 020,E02002062,8955,3783,404,33,2149,663,534,1104,338,613,153,460,101,30,241,88,3061,2354,29,12,18,648,547,55,492
2021,Sandwell 021,E02002063,10330,3403,73,21,1847,1183,279,1161,406,605,150,453,92,22,254,85,4836,4193,28,5,15,595,477,15,462
