date,geography,geography code,Number of households: Number of households; measures: Value
2021,Bury 021C,E01004943,710
2021,Bury 021D,E01004944,630
2021,Bury 021E,E01004946,777
2021,Bury 022A,E01004969,711
2021,Bury 022B,E01004970,607
2021,Bury 022C,E01004971,600
2021,Bury 022D,E01005034,714
2021,Bury 023A,E01004972,568
2021,Bury 023B,E01004973,649
2021,Bury 023C,E01004975,769
2021,Bury 023D,E01005039,687
2021,Bury 023E,E01005045,724
2021,Bury 024A,E01004974,600
2021,Bury 024B,E01005033,595
2021,Bury 024C,E01005036,1068
2021,Bury 024D,E01005037,630
2021,Bury 025A,E01005031,635
2021,Bury 025B,E01005032,559
2021,Bury 025C,E01005035,655
2021,Bury 025D,E01005038,524
2021,Bury 026A,E01005040,691
2021,Bury 026B,E01005041,524
2021,Bury 026C,E01005042,614
2021,Bury 026D,E01005043,489
2021,Bury 026E,E01005044,475
2021,Manchester 001A,E01005098,767
2021,Manchester 001B,E01005099,692
2021,Manchester 001C,E01005100,657
2021,Manchester 001D,E01005102,624
2021,Manchester 001E,E01005103,862
2021,Manchester 002A,E01005101,727
2021,Manchester 002B,E01005135,657
2021,Manchester 002C,E01005136,616
2021,Manchester 002D,E01005138,996
2021,Manchester 002F,E01034107,595
2021,Manchester 002G,E01034108,788
2021,Manchester 003B,E01005139,766
2021,Manchester 003C,E01005141,794
2021,Manchester 003D,E01005251,641
2021,Manchester 003E,E01005252,764
2021,Manchester 003F,E01033685,631
2021,Manchester 003G,E01033687,763
2021,Manchester 004A,E01005104,819
2021,Manchester 004B,E01005160,703
2021,Manchester 004C,E01005161,660
2021,Manchester 004D,E01005162,654
2021,Manchester 004E,E01005163,652
2021,Manchester 005A,E01005247,623
2021,Manchester 005B,E01005248,585
2021,Manchester 005C,E01005249,904
2021,Manchester 005D,E01005250,762
2021,Manchester 005E,E01005253,628
2021,Manchester 005F,E01005254,703
2021,Manchester 006A,E01005164,782
2021,Manchester 006B,E01005205,872
2021,Manchester 006C,E01005206,725
2021,Manchester 006D,E01005207,780
2021,Manchester 007A,E01005223,606
2021,Manchester 007B,E01005224,758
2021,Manchester 007C,E01005225,856
2021,Manchester 007D,E01005226,700
2021,Manchester 007E,E01005229,606
2021,Manchester 008A,E01005145,776
2021,Manchester 008C,E01005149,507
2021,Manchester 008D,E01005165,886
2021,Manchester 008E,E01005166,704
2021,Manchester 008F,E01005167,630
2021,Manchester 008G,E01034109,424
2021,Manchester 008H,E01034110,485
2021,Manchester 009A,E01005202,856
2021,Manchester 009B,E01005203,858
2021,Manchester 009D,E01005227,741
2021,Manchester 009E,E01005228,893
2021,Manchester 009F,E01033678,658
2021,Manchester 009G,E01033679,581
2021,Manchester 011A,E01005256,1050
2021,Manchester 011B,E01005257,806
2021,Manchester 011C,E01005258,781
2021,Manchester 011D,E01005259,758
2021,Manchester 011E,E01005260,594
2021,Manchester 012A,E01005093,680
2021,Manchester 012B,E01005094,664
2021,Manchester 012C,E01005097,649
2021,Manchester 012D,E01005255,777
2021,Manchester 012E,E01005261,673
2021,Manchester 015A,E01005092,781
2021,Manchester 015C,E01005105,1132
2021,Manchester 015D,E01005106,900
2021,Manchester 015E,E01005107,744
2021,Manchester 015F,E01033668,595
2021,Manchester 015G,E01033669,648
2021,Manchester 017D,E01005189,800
2021,Manchester 017E,E01005190,941
2021,Manchester 017G,E01034111,555
2021,Manchester 017H,E01034112,733
2021,Manchester 017I,E01034113,563
2021,Manchester 017J,E01034114,729
2021,Manchester 018A,E01005061,656
2021,Manchester 018C,E01005063,763
2021,Manchester 018D,E01005065,802
2021,Manchester 018E,E01005066,509
2021,Manchester 018F,E01034115,424
2021,Manchester 018G,E01034116,416
2021,Manchester 019A,E01005208,1101
2021,Manchester 019C,E01005210,448
2021,Manchester 019D,E01005214,985
2021,Manchester 019E,E01034117,473
2021,Manchester 019F,E01034118,457
2021,Manchester 020A,E01005067,805
2021,Manchester 020B,E01005186,1051
2021,Manchester 020C,E01005232,706
2021,Manchester 020D,E01005235,717
2021,Manchester 020E,E01005239,630
2021,Manchester 021A,E01005187,835
2021,Manchester 021B,E01005188,729
2021,Manchester 021C,E01005191,795
2021,Manchester 021D,E01005192,680
2021,Manchester 021E,E01005193,803
2021,Manchester 022B,E01005230,762
2021,Manchester 022C,E01005231,698
2021,Manchester 022D,E01005236,697
2021,Manchester 022E,E01005237,526
2021,Manchester 022H,E01034119,765
2021,Manchester 023A,E01005195,876
2021,Manchester 023C,E01005197,706
2021,Manchester 023D,E01005198,709
2021,Manchester 023E,E01005201,785
2021,Manchester 023F,E01034120,595
2021,Manchester 023G,E01034121,449
2021,Manchester 024B,E01005243,1143
2021,Manchester 024C,E01005245,960
2021,Manchester 024D,E01005246,755
2021,Manchester 024E,E01034122,628
2021,Manchester 024F,E01034123,637
2021,Manchester 025C,E01005244,813
2021,Manchester 025D,E01005285,511
2021,Manchester 025E,E01005288,677
2021,Manchester 025F,E01034124,558
2021,Manchester 025G,E01034125,549
2021,Manchester 025H,E01034126,607
2021,Manchester 025I,E01034127,589
2021,Manchester 026A,E01005280,539
2021,Manchester 026B,E01005281,529
2021,Manchester 026C,E01005284,654
2021,Manchester 026D,E01005286,764
2021,Manchester 026E,E01005287,655
2021,Manchester 028A,E01005297,948
2021,Manchester 028B,E01005298,624
2021,Manchester 028C,E01005302,1007
2021,Manchester 028E,E01033680,674
2021,Manchester 028F,E01033686,648
2021,Manchester 029A,E01005150,839
2021,Manchester 029B,E01005151,703
2021,Manchester 029C,E01005152,587
2021,Manchester 029D,E01005159,682
2021,Manchester 029E,E01005296,627
2021,Manchester 029F,E01005299,544
2021,Manchester 030A,E01005178,739
2021,Manchester 030B,E01005179,918
2021,Manchester 030C,E01005180,763
2021,Manchester 030D,E01005181,687
2021,Manchester 030E,E01005182,472
2021,Manchester 030F,E01005183,647
2021,Manchester 031A,E01005219,924
2021,Manchester 031B,E01005220,745
2021,Manchester 031C,E01005221,871
2021,Manchester 031D,E01005222,911
2021,Manchester 032A,E01005184,777
2021,Manchester 032B,E01005185,511
2021,Manchester 032C,E01005271,620
2021,Manchester 032F,E01034128,889
2021,Manchester 033A,E01005154,655
2021,Manchester 033B,E01005156,623
2021,Manchester 033C,E01005158,697
2021,Manchester 033D,E01005300,480
2021,Manchester 033E,E01005301,587
2021,Manchester 034A,E01005118,476
2021,Manchester 034B,E01005120,662
2021,Manchester 034C,E01005215,726
2021,Manchester 034D,E01005216,607
2021,Manchester 034E,E01005217,698
2021,Manchester 034F,E01005218,629
2021,Manchester 035A,E01005270,687
2021,Manchester 035B,E01005272,811
2021,Manchester 035C,E01005273,593
2021,Manchester 035D,E01005278,536
2021,Manchester 035E,E01005279,817
2021,Manchester 036A,E01005305,587
2021,Manchester 036B,E01005309,951
2021,Manchester 036C,E01005310,585
2021,Manchester 036D,E01005311,660
2021,Manchester 036E,E01005312,642
2021,Manchester 037A,E01005082,751
2021,Manchester 037B,E01005153,783
2021,Manchester 037C,E01005155,668
2021,Manchester 037D,E01005157,598
2021,Manchester 038A,E01005274,697
2021,Manchester 038B,E01005275,804
2021,Manchester 038C,E01005276,616
2021,Manchester 038D,E01005277,783
2021,Manchester 039A,E01005076,739
2021,Manchester 039C,E01005081,773
2021,Manchester 039D,E01005083,957
2021,Manchester 039E,E01033670,780
2021,Manchester 039F,E01033671,827
2021,Manchester 040A,E01005125,614
2021,Manchester 040B,E01005304,665
2021,Manchester 040C,E01005306,722
2021,Manchester 040D,E01005307,713
2021,Manchester 040E,E01005308,617
2021,Manchester 041A,E01005119,669
2021,Manchester 041B,E01005121,604
2021,Manchester 041C,E01005122,647
2021,Manchester 041D,E01005123,610
2021,Manchester 041E,E01005124,672
2021,Manchester 042A,E01005077,628
2021,Manchester 042B,E01005078,832
2021,Manchester 042C,E01005079,634
2021,Manchester 042D,E01005084,858
2021,Manchester 043A,E01005172,795
2021,Manchester 043B,E01005173,722
2021,Manchester 043C,E01005174,619
2021,Manchester 043D,E01005175,684
2021,Manchester 043E,E01005176,895
2021,Manchester 043F,E01005177,619
2021,Manchester 044A,E01005115,785
2021,Manchester 044B,E01005262,855
2021,Manchester 044C,E01005264,616
2021,Manchester 044D,E01005265,695
2021,Manchester 044E,E01005266,833
2021,Manchester 045A,E01005126,803
2021,Manchester 045B,E01005168,523
2021,Manchester 045C,E01005169,596
2021,Manchester 045D,E01005170,579
2021,Manchester 045E,E01005171,700
2021,Manchester 046A,E01005263,802
2021,Manchester 046B,E01005267,650
2021,Manchester 046C,E01005268,1073
2021,Manchester 046D,E01005269,613
2021,Manchester 047A,E01005069,655
2021,Manchester 047B,E01005111,608
2021,Manchester 047C,E01005113,811
2021,Manchester 047D,E01005114,815
2021,Manchester 047E,E01005116,993
2021,Manchester 048A,E01005071,734
2021,Manchester 048B,E01005072,859
2021,Manchester 048C,E01005073,611
2021,Manchester 048D,E01005112,676
2021,Manchester 048E,E01005117,973
2021,Manchester 049A,E01005085,598
2021,Manchester 049B,E01005086,702
2021,Manchester 049C,E01005089,697
2021,Manchester 049D,E01005289,782
2021,Manchester 049E,E01005295,1140
2021,Manchester 050A,E01005087,803
2021,Manchester 050B,E01005088,725
2021,Manchester 050C,E01005090,860
2021,Manchester 050D,E01005091,875
2021,Manchester 050E,E01005291,680
2021,Manchester 051A,E01005068,721
2021,Manchester 051B,E01005070,803
2021,Manchester 051C,E01005074,646
2021,Manchester 051D,E01005075,675
2021,Manchester 051E,E01005319,895
2021,Manchester 052A,E01005290,685
2021,Manchester 052B,E01005292,669
2021,Manchester 052C,E01005293,513
2021,Manchester 052D,E01005294,638
2021,Manchester 052E,E01005317,920
2021,Manchester 053A,E01005313,602
2021,Manchester 053B,E01005314,636
2021,Manchester 053C,E01005315,813
2021,Manchester 053D,E01005316,690
2021,Manchester 053E,E01005318,786
2021,Manchester 054A,E01005130,732
2021,Manchester 054B,E01033651,957
2021,Manchester 054C,E01033658,711
2021,Manchester 054D,E01033664,1077
2021,Manchester 054E,E01033667,880
2021,Manchester 055A,E01005128,695
2021,Manchester 055B,E01033653,1146
2021,Manchester 055C,E01033654,563
2021,Manchester 055E,E01033661,1201
2021,Manchester 055F,E01034129,637
2021,Manchester 055G,E01034130,782
2021,Manchester 056A,E01005143,793
2021,Manchester 056B,E01033655,745
2021,Manchester 056C,E01033665,916
2021,Manchester 056D,E01033676,732
