date,geography,geography code,Number of households: Number of households; measures: Value
2021,Bury 022,E02001040,2632
2021,Bury 023,E02001041,3399
2021,Bury 024,E02001042,2893
2021,Bury 025,E02001043,2373
2021,Bury 026,E02001044,2794
2021,Manchester 001,E02001045,3602
2021,Manchester 002,E02001046,4379
2021,Manchester 003,E02001047,4359
2021,Manchester 004,E02001048,3487
2021,Manchester 005,E02001049,4205
2021,Manchester 006,E02001050,3161
2021,Manchester 007,E02001051,3527
2021,Manchester 008,E02001052,4411
2021,Manchester 009,E02001053,4587
2021,Manchester 011,E02001055,3986
2021,Manchester 012,E02001056,3444
2021,Manchester 015,E02001059,4799
2021,Manchester 017,E02001061,4322
2021,Manchester 018,E02001062,3570
2021,Manchester 019,E02001063,3464
2021,Manchester 020,E02001064,3909
2021,Manchester 021,E02001065,3844
2021,Manchester 022,E02001066,3448
2021,Manchester 023,E02001067,4121
2021,Manchester 024,E02001068,4121
2021,Manchester 025,E02001069,4303
2021,Manchester 026,E02001070,3141
2021,Manchester 028,E02001072,3899
2021,Manchester 029,E02001073,3986
2021,Manchester 030,E02001074,4226
2021,Manchester 031,E02001075,3451
2021,Manchester 032,E02001076,2797
2021,Manchester 033,E02001077,3043
2021,Manchester 034,E02001078,3800
2021,Manchester 035,E02001079,3444
2021,Manchester 036,E02001080,3427
2021,Manchester 037,E02001081,2800
2021,Manchester 038,E02001082,2900
2021,Manchester 039,E02001083,4076
2021,Manchester 040,E02001084,3331
2021,Manchester 041,E02001085,3202
2021,Manchester 042,E02001086,2952
2021,Manchester 043,E02001087,4334
2021,Manchester 044,E02001088,3784
2021,Manchester 045,E02001089,3202
2021,Manchester 046,E02001090,3138
2021,Manchester 047,E02001091,3882
2021,Manchester 048,E02001092,3853
2021,Manchester 049,E02001093,3919
2021,Manchester 050,E02001094,3943
2021,Manchester 051,E02001095,3740
2021,Manchester 052,E02001096,3425
2021,Manchester 053,E02001097,3527
2021,Manchester 054,E02006902,4357
2021,Manchester 055,E02006912,5024
2021,Manchester 056,E02006913,3186
2021,Manchester 057,E02006914,2212
2021,Manchester 058,E02006915,3039
2021,Manchester 059,E02006916,3802
2021,Manchester 060,E02006917,3817
2021,Manchester 061,E02006983,3229
2021,Manchester 062,E02006984,2966
2021,Manchester 063,E02006985,2512
2021,Manchester 064,E02006986,2319
2021,Oldham 001,E02001098,2729
2021,Oldham 002,E02001099,2652
2021,Oldham 003,E02001100,2590
2021,Oldham 004,E02001101,2451
2021,Oldham 005,E02001102,2527
2021,Oldham 006,E02001103,2428
2021,Oldham 007,E02001104,2843
2021,Oldham 008,E02001105,2675
2021,Oldham 009,E02001106,2744
2021,Oldham 010,E02001107,2559
2021,Oldham 011,E02001108,2356
2021,Oldham 012,E02001109,3362
2021,Oldham 013,E02001110,2859
2021,Oldham 014,E02001111,3436
2021,Oldham 015,E02001112,2451
2021,Oldham 016,E02001113,2512
2021,Oldham 017,E02001114,3494
2021,Oldham 018,E02001115,2605
2021,Oldham 019,E02001116,2387
2021,Oldham 020,E02001117,2623
2021,Oldham 021,E02001118,2626
2021,Oldham 022,E02001119,2871
2021,Oldham 024,E02001121,2466
2021,Oldham 026,E02001123,2788
2021,Oldham 027,E02001124,2807
2021,Oldham 028,E02001125,3336
2021,Oldham 029,E02001126,3363
2021,Oldham 030,E02001127,2942
2021,Oldham 031,E02001128,3283
2021,Oldham 032,E02001129,3066
2021,Oldham 033,E02001130,2587
2021,Oldham 034,E02001131,2308
2021,Oldham 036,E02007000,2196
2021,Oldham 037,E02007001,2220
2021,Rochdale 001,E02001132,3055
