date,geography,geography code,Sex: All persons; measures: Value,Sex: Female; measures: Value,Sex: Male; measures: Value
2021,Trafford 010,E02001268,7040,3668,3372
2021,Trafford 011,E02001269,8356,4273,4083
2021,Trafford 012,E02001270,8549,4361,4188
2021,Trafford 013,E02001271,6644,3454,3190
2021,Trafford 014,E02001272,8027,4079,3948
2021,Trafford 015,E02001273,9535,4775,4760
2021,Trafford 016,E02001274,8058,4131,3927
2021,Trafford 017,E02001275,8189,4330,3859
2021,Trafford 018,E02001276,8116,4260,3856
2021,Trafford 019,E02001277,9350,4878,4472
2021,Trafford 020,E02001278,8694,4347,4347
2021,Trafford 021,E02001279,8286,4153,4133
2021,Trafford 022,E02001280,8401,4395,4006
2021,Trafford 023,E02001281,7737,4030,3707
2021,Trafford 024,E02001282,10105,5197,4908
2021,Trafford 025,E02001283,9514,4811,4703
2021,Trafford 026,E02001284,8153,4147,4006
2021,Trafford 027,E02001285,7756,4047,3709
2021,Trafford 028,E02001286,8278,4306,3972
2021,Wigan 001,E02001287,6630,3384,3246
2021,Wigan 002,E02001288,8334,4222,4112
2021,Wigan 003,E02001289,10174,5150,5024
2021,Wigan 004,E02001290,6129,3159,2970
2021,Wigan 005,E02001291,7815,3978,3837
2021,Wigan 006,E02001292,8030,3986,4044
2021,Wigan 007,E02001293,6258,3204,3054
2021,Wigan 008,E02001294,7998,3963,4035
2021,Wigan 009,E02001295,7232,3495,3737
2021,Wigan 010,E02001296,9049,4670,4379
2021,Wigan 011,E02001297,6605,3319,3286
2021,Wigan 012,E02001298,8123,4113,4010
2021,Wigan 013,E02001299,8690,4393,4297
2021,Wigan 014,E02001300,7888,3997,3891
2021,Wigan 015,E02001301,9029,4544,4485
2021,Wigan 016,E02001302,7985,4044,3941
2021,Wigan 017,E02001303,9028,4561,4467
2021,Wigan 018,E02001304,12764,6513,6251
2021,Wigan 019,E02001305,8520,4339,4181
2021,Wigan 020,E02001306,7149,3635,3514
2021,Wigan 021,E02001307,11653,5944,5709
2021,Wigan 022,E02001308,5970,3030,2940
2021,Wigan 023,E02001309,8354,4250,4104
2021,Wigan 024,E02001310,9227,4660,4567
2021,Wigan 025,E02001311,8192,4155,4037
2021,Wigan 026,E02001312,8687,4090,4597
2021,Wigan 027,E02001313,8167,4094,4073
2021,Wigan 028,E02001314,8008,4041,3967
2021,Wigan 029,E02001315,9439,4804,4635
2021,Wigan 030,E02001316,7358,3597,3761
2021,Wigan 031,E02001317,9006,4550,4456
2021,Wigan 032,E02001318,7830,3937,3893
2021,Wigan 033,E02001319,8321,4125,4196
2021,Wigan 034,E02001320,7389,3829,3560
2021,Wigan 035,E02001321,8005,4045,3960
2021,Wigan 036,E02001322,7206,3711,3495
2021,Wigan 037,E02001323,7704,3928,3776
2021,Wigan 038,E02001324,8267,4150,4117
2021,Wigan 039,E02001325,8956,4582,4374
2021,Wigan 040,E02001326,8163,4142,4021
2021,Birmingham 001,E02001827,6452,3368,3084
2021,Birmingham 002,E02001828,7142,3703,3439
2021,Birmingham 003,E02001829,9160,4724,4436
2021,Birmingham 004,E02001830,9686,4933,4753
2021,Birmingham 005,E02001831,10683,5650,5033
2021,Birmingham 006,E02001832,7931,4042,3889
2021,Birmingham 007,E02001833,5936,2983,2953
2021,Birmingham 008,E02001834,6110,3198,2912
2021,Birmingham 009,E02001835,8472,4351,4121
2021,Birmingham 010,E02001836,9105,4642,4463
2021,Birmingham 011,E02001837,10667,5491,5176
2021,Birmingham 012,E02001838,7570,3907,3663
