"date","geography","geography code","Length of residence in the UK: Total: All usual residents; measures: Value","Length of residence in the UK: Born in the UK; measures: Value","Length of residence in the UK: 10 years or more; measures: Value","Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value","Length of residence in the UK: Less than 2 years; measures: Value"
"2021","Wrexham","W06000006",135117,124476,5911,2092,1610,1028
"2021","Powys","W06000023",133171,126711,4336,999,700,425
"2021","Ceredigion","W06000008",71475,66430,2683,609,763,990
"2021","Pembrokeshire","W06000009",123360,117408,4207,701,584,460
"2021","Carmarthenshire","W06000010",187897,178385,6120,1657,944,791
"2021","Swansea","W06000011",238490,216019,12185,3893,2960,3433
"2021","Neath Port Talbot","W06000012",142289,137115,3363,715,560,536
"2021","Bridgend","W06000013",145488,139225,4339,885,535,504
"2021","Vale of Glamorgan","W06000014",131939,124315,5343,889,681,711
"2021","Cardiff","W06000015",362308,302460,31076,10196,8329,10247
"2021","Rhondda Cynon Taff","W06000016",237652,228753,5083,1253,1054,1509
"2021","Merthyr Tydfil","W06000024",58839,55553,1892,649,374,371
"2021","Caerphilly","W06000018",175952,170772,3624,890,400,266
"2021","Blaenau Gwent","W06000019",66904,64757,1291,425,274,157
"2021","Torfaen","W06000020",92273,88990,2288,496,318,181
"2021","Monmouthshire","W06000021",92957,87843,3509,650,505,450
"2021","Newport","W06000022",159591,140174,11170,3634,2617,1996
