"date","geography","geography code","Length of residence in the UK: Total: All usual residents; measures: Value","Length of residence in the UK: Born in the UK; measures: Value","Length of residence in the UK: 10 years or more; measures: Value","Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value","Length of residence in the UK: Less than 2 years; measures: Value"
"2021","Worcester","E07000237",103873,90586,6890,2574,2025,1798
"2021","Wychavon","E07000238",132492,121686,6005,2423,1463,915
"2021","Wyre Forest","E07000239",101607,96555,3398,836,549,269
"2021","Birmingham","E08000025",1144919,838959,187017,48664,37797,32482
"2021","Coventry","E08000026",345324,248991,47774,17054,15302,16203
"2021","Dudley","E08000027",323489,297930,16181,3915,3347,2116
"2021","Sandwell","E08000028",341832,261213,47319,14738,10962,7600
"2021","Solihull","E08000029",216239,193991,14997,3194,2264,1793
"2021","Walsall","E08000030",284127,242162,25755,7317,5482,3411
"2021","Wolverhampton","E08000031",263727,203312,33878,10517,9081,6939
"2021","Peterborough","E06000031",215673,154787,33222,13447,8400,5817
"2021","Luton","E06000032",225262,138675,49785,14672,11910,10220
"2021","Southend-on-Sea","E06000033",180689,158100,14927,3484,2295,1883
"2021","Thurrock","E06000034",176000,139059,22752,7544,4086,2559
"2021","Bedford","E06000055",185225,145586,24126,7011,4898,3604
"2021","Central Bedfordshire","E06000056",294252,261763,20596,5600,3306,2987
"2021","Cambridge","E07000008",145675,90388,21000,10583,11257,12447
"2021","East Cambridgeshire","E07000009",87760,77395,5954,1942,1420,1049
"2021","Fenland","E07000010",102462,89691,7139,3170,1540,922
"2021","Huntingdonshire","E07000011",180832,158430,12971,4050,2994,2387
"2021","South Cambridgeshire","E07000012",162119,135924,15123,4946,3437,2689
"2021","Basildon","E07000066",187571,165407,13711,4093,2494,1866
"2021","Braintree","E07000067",155268,144076,7701,1998,917,576
"2021","Brentwood","E07000068",77047,68392,5678,1340,915,722
"2021","Castle Point","E07000069",89587,85303,3307,465,299,213
"2021","Chelmsford","E07000070",181523,159914,12675,3746,2594,2594
"2021","Colchester","E07000071",192716,164707,15531,4994,3629,3855
"2021","Epping Forest","E07000072",134980,116277,13165,2644,1672,1222
"2021","Harlow","E07000073",93328,76255,9582,3470,2281,1740
"2021","Maldon","E07000074",66208,63255,2244,338,205,166
"2021","Rochford","E07000075",85661,82203,2711,381,237,129
"2021","Tendring","E07000076",148292,140821,5744,867,548,312
"2021","Uttlesford","E07000077",91340,83396,5297,1294,741,612
"2021","Broxbourne","E07000095",99009,81314,12522,2620,1594,959
"2021","Dacorum","E07000096",155081,132881,13998,3995,2452,1755
"2021","Hertsmere","E07000098",107827,83151,16641,3840,2406,1789
"2021","North Hertfordshire","E07000099",133210,117793,10805,2197,1451,964
"2021","Three Rivers","E07000102",93771,75953,13140,2268,1369,1041
"2021","Watford","E07000103",102246,67527,20098,6274,4862,3485
"2021","Breckland","E07000143",141476,126175,8723,3292,1877,1409
"2021","Broadland","E07000144",131721,124296,5273,1082,663,407
"2021","Great Yarmouth","E07000145",99750,89995,4845,2204,1455,1251
"2021","King's Lynn and West Norfolk","E07000146",154324,138376,8960,2890,2151,1947
"2021","North Norfolk","E07000147",102980,98291,3466,590,333,300
"2021","Norwich","E07000148",143922,118600,11600,5039,4326,4357
"2021","South Norfolk","E07000149",141948,131950,6498,1634,1072,794
"2021","Babergh","E07000200",92341,87057,3881,724,424,255
"2021","Ipswich","E07000202",139642,114863,12219,5617,4233,2710
"2021","Mid Suffolk","E07000203",102699,96911,3919,744,511,614
"2021","St Albans","E07000240",148168,122959,16271,3984,2896,2058
"2021","Welwyn Hatfield","E07000241",119836,93466,14201,4184,3239,4746
"2021","East Hertfordshire","E07000242",150158,133893,9694,2742,2196,1633
"2021","Stevenage","E07000243",89495,74744,8932,2522,1826,1471
"2021","East Suffolk","E07000244",246057,231386,10093,2134,1476,968
"2021","West Suffolk","E07000245",179948,149325,11662,4061,6541,8359
"2021","City of London","E09000001",8583,4327,1690,745,838,983
"2021","Barking and Dagenham","E09000002",218871,128483,54916,17197,10893,7382
"2021","Barnet","E09000003",389344,221293,104882,27670,20652,14847
"2021","Bexley","E09000004",246473,194714,36134,8099,4441,3085
"2021","Brent","E09000005",339816,149239,114217,33145,24671,18544
"2021","Bromley","E09000006",329991,263052,45400,10349,6656,4534
"2021","Camden","E09000007",210136,114647,50482,14085,14132,16790
"2021","Croydon","E09000008",390719,254536,92122,21030,13550,9481
"2021","Ealing","E09000009",367115,180561,114277,31490,23673,17114
"2021","Enfield","E09000010",329984,196824,91954,19515,13189,8502
"2021","Greenwich","E09000011",289068,180578,64103,20497,13601,10289
"2021","Hackney","E09000012",259146,156219,62759,16947,13065,10156
"2021","Hammersmith and Fulham","E09000013",183157,99818,44057,14372,13213,11697
"2021","Haringey","E09000014",264238,143117,72112,21941,16308,10760
"2021","Harrow","E09000015",261203,127612,86751,20690,14959,11191
"2021","Havering","E09000016",262053,211166,32710,9085,5357,3735
"2021","Hillingdon","E09000017",305909,188260,73764,18355,14038,11492
"2021","Hounslow","E09000018",288181,145556,82025,24722,20605,15273
"2021","Islington","E09000019",216589,130213,46060,14064,13560,12692
"2021","Kensington and Chelsea","E09000020",143375,66063,41136,12457,11494,12225
"2021","Kingston upon Thames","E09000021",168061,111412,34729,9210,6806,5904
"2021","Lambeth","E09000022",317654,195091,74439,19775,15609,12740
"2021","Lewisham","E09000023",300551,193483,67979,18646,12051,8392
"2021","Merton","E09000024",215185,127245,54478,15491,10659,7312
"2021","Newham","E09000025",351035,162447,101180,35229,29139,23040
"2021","Redbridge","E09000026",310260,174963,83717,21811,17368,12401
"2021","Richmond upon Thames","E09000027",195276,139053,33638,9235,7344,6006
"2021","Southwark","E09000028",307638,182392,71822,21052,16975,15397
"2021","Sutton","E09000029",209638,151447,39540,9443,5379,3829
"2021","Tower Hamlets","E09000030",310306,165081,70066,26808,24248,24103
"2021","Waltham Forest","E09000031",278426,171070,66599,19580,13262,7915
"2021","Wandsworth","E09000032",327506,203322,68220,23762,18270,13932
"2021","Westminster","E09000033",204236,90702,57108,17692,17883,20851
"2021","Medway","E06000035",279773,241119,25051,6354,3831,3418
"2021","Bracknell Forest","E06000036",124607,102964,13331,3706,2579,2027
"2021","West Berkshire","E06000037",161448,141996,11847,3229,2433,1943
"2021","Reading","E06000038",174224,115894,26825,11530,10385,9590
"2021","Slough","E06000039",158499,88806,44658,10878,7886,6271
"2021","Windsor and Maidenhead","E06000040",153496,120245,20566,5287,4156,3242
"2021","Wokingham","E06000041",177502,143891,20951,5569,3883,3208
"2021","Milton Keynes","E06000042",287060,213215,42087,14481,10136,7141
"2021","Brighton and Hove","E06000043",277103,222760,28524,9674,8219,7926
"2021","Portsmouth","E06000044",208003,172763,17578,6749,5199,5714
"2021","Southampton","E06000045",248922,188823,28758,11793,9356,10192
"2021","Isle of Wight","E06000046",140459,131851,5989,1036,777,806
"2021","Buckinghamshire","E06000060",553080,461030,62634,13819,8751,6846
"2021","Eastbourne","E07000061",101686,86238,9476,2687,1945,1340
"2021","Hastings","E07000062",90995,80653,6605,1597,1184,956
"2021","Lewes","E07000063",99905,91059,6486,1143,742,475
"2021","Rother","E07000064",93110,86089,5084,804,602,531
"2021","Wealden","E07000065",160151,147986,8913,1474,955,823
"2021","Basingstoke and Deane","E07000084",185157,157505,16546,4706,3393,3007
"2021","East Hampshire","E07000085",125744,113737,8498,1567,1087,855
"2021","Eastleigh","E07000086",136442,123713,8450,2045,1306,928
"2021","Fareham","E07000087",114513,106737,5562,1021,651,542
"2021","Gosport","E07000088",81952,75997,4165,868,509,413
"2021","Hart","E07000089",99408,87770,7965,1611,1071,991
"2021","Havant","E07000090",124206,116201,5752,1070,688,495
"2021","New Forest","E07000091",175785,163689,8659,1531,1147,759
"2021","Rushmoor","E07000092",99756,75967,13922,4472,2996,2399
"2021","Test Valley","E07000093",130492,115982,9444,2466,1516,1084
"2021","Winchester","E07000094",127444,113477,8525,1965,1660,1817
"2021","Ashford","E07000105",132747,114942,10784,3101,2269,1651
"2021","Canterbury","E07000106",157429,137129,10762,3250,2721,3567
"2021","Dartford","E07000107",116753,93777,14797,4211,2366,1602
"2021","Dover","E07000108",116410,106575,6754,1560,876,645
"2021","Gravesham","E07000109",106900,86328,13105,3933,2196,1338
"2021","Maidstone","E07000110",175785,151237,13715,5059,3387,2387
"2021","Sevenoaks","E07000111",120514,107235,8891,1959,1397,1032
