date,geography,geography code,Migrant indicator: Total: All usual residents; measures: Value,Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value
2021,Manchester 006D,E01005207,1990,1775,0,166,49
2021,Manchester 007A,E01005223,1593,1416,0,152,25
2021,Manchester 007B,E01005224,2096,1828,6,204,58
2021,Manchester 007C,E01005225,2054,1885,4,138,27
2021,Manchester 007D,E01005226,1894,1634,5,193,62
2021,Manchester 007E,E01005229,1488,1418,1,63,6
2021,Manchester 008A,E01005145,2960,2676,4,220,60
2021,Manchester 008C,E01005149,2146,2016,2,74,54
2021,Manchester 008D,E01005165,2304,2007,20,207,70
2021,Manchester 008E,E01005166,2103,1921,3,138,41
2021,Manchester 008F,E01005167,2294,2066,3,163,62
2021,Manchester 008G,E01034109,1491,1395,1,65,30
2021,Manchester 008H,E01034110,1472,1314,5,125,28
2021,Manchester 009A,E01005202,2346,2046,10,246,44
2021,Manchester 009B,E01005203,1993,1849,2,129,13
2021,Manchester 009D,E01005227,2043,1806,1,177,59
2021,Manchester 009E,E01005228,2221,2056,3,142,20
2021,Manchester 009F,E01033678,1759,1597,13,117,32
2021,Manchester 009G,E01033679,1377,1289,9,50,29
2021,Manchester 011A,E01005256,2606,2356,5,210,35
2021,Manchester 011B,E01005257,1985,1835,1,111,38
2021,Manchester 011C,E01005258,1774,1617,2,150,5
2021,Manchester 011D,E01005259,1746,1586,0,134,26
2021,Manchester 011E,E01005260,1443,1332,7,102,2
2021,Manchester 012A,E01005093,1821,1699,4,102,16
2021,Manchester 012B,E01005094,1662,1526,1,109,26
2021,Manchester 012C,E01005097,1928,1818,6,97,7
2021,Manchester 012D,E01005255,1641,1522,2,91,26
2021,Manchester 012E,E01005261,1773,1676,5,83,9
2021,Manchester 015A,E01005092,1907,1736,8,139,24
2021,Manchester 015C,E01005105,2925,2477,10,329,109
2021,Manchester 015D,E01005106,2300,2006,18,224,52
2021,Manchester 015E,E01005107,2005,1900,4,88,13
2021,Manchester 015F,E01033668,1137,895,10,188,44
2021,Manchester 015G,E01033669,1416,1309,4,92,11
2021,Manchester 017D,E01005189,1659,1527,4,100,28
2021,Manchester 017E,E01005190,2420,2065,4,294,57
2021,Manchester 017G,E01034111,1558,1484,0,67,7
2021,Manchester 017H,E01034112,1830,1616,3,169,42
2021,Manchester 017I,E01034113,1471,1308,3,134,26
2021,Manchester 017J,E01034114,1880,1544,14,285,37
2021,Manchester 018A,E01005061,1768,1671,6,79,12
2021,Manchester 018C,E01005063,2089,1909,15,112,53
2021,Manchester 018D,E01005065,2150,1751,31,284,84
2021,Manchester 018E,E01005066,1044,877,22,96,49
2021,Manchester 018F,E01034115,1883,1071,179,386,247
2021,Manchester 018G,E01034116,1094,804,37,170,83
2021,Manchester 019A,E01005208,2772,1736,89,816,131
2021,Manchester 019C,E01005210,2640,1012,113,1342,173
2021,Manchester 019D,E01005214,2358,1659,111,480,108
2021,Manchester 019E,E01034117,2191,648,157,878,508
2021,Manchester 019F,E01034118,1014,918,5,73,18
2021,Manchester 020A,E01005067,2040,1802,2,191,45
2021,Manchester 020B,E01005186,2851,2633,9,163,46
2021,Manchester 020C,E01005232,1897,1758,3,114,22
2021,Manchester 020D,E01005235,2046,1829,1,185,31
2021,Manchester 020E,E01005239,1781,1674,4,94,9
2021,Manchester 021A,E01005187,2210,1975,5,183,47
2021,Manchester 021B,E01005188,1895,1680,12,167,36
2021,Manchester 021C,E01005191,1790,1480,0,298,12
2021,Manchester 021D,E01005192,1707,1500,2,172,33
