date,geography,geography code,Migrant indicator: Total: All usual residents; measures: Value,Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value
2021,Rochdale 009,E02001140,8036,7452,7,526,51
2021,Rochdale 010,E02001141,11842,10854,11,768,209
2021,Rochdale 011,E02001142,5960,5556,14,369,21
2021,Rochdale 012,E02001143,11488,10678,9,700,101
2021,Rochdale 013,E02001144,6272,5765,12,486,9
2021,Rochdale 014,E02001145,6985,6539,10,419,17
2021,Rochdale 015,E02001146,10145,9169,8,756,212
2021,Rochdale 016,E02001147,10258,9459,15,737,47
2021,Rochdale 017,E02001148,10323,9662,10,590,61
2021,Rochdale 018,E02001149,10195,9330,9,816,40
2021,Rochdale 019,E02001150,8839,8186,10,610,33
2021,Rochdale 020,E02001151,9982,9207,10,729,36
2021,Rochdale 021,E02001152,9638,8714,10,848,66
2021,Rochdale 022,E02001153,12083,11127,11,875,70
2021,Rochdale 023,E02001154,10012,9266,11,693,42
2021,Rochdale 024,E02001155,7110,6562,11,481,56
2021,Rochdale 025,E02001156,9810,9224,17,538,31
2021,Salford 001,E02001157,8550,7788,11,684,67
2021,Salford 002,E02001158,5981,5458,11,466,46
2021,Salford 003,E02001159,7388,6538,12,776,62
2021,Salford 004,E02001160,7158,6647,7,473,31
2021,Salford 005,E02001161,5783,5322,12,386,63
2021,Salford 006,E02001162,5755,5297,5,414,39
2021,Salford 007,E02001163,9780,8887,15,823,55
2021,Salford 008,E02001164,7587,6552,5,971,59
2021,Salford 009,E02001165,6105,5424,12,630,39
2021,Salford 010,E02001166,8072,7281,29,667,95
2021,Salford 011,E02001167,6858,6130,28,602,98
2021,Salford 012,E02001168,9736,8717,20,919,80
2021,Salford 013,E02001169,10784,9964,29,735,56
2021,Salford 014,E02001170,9733,8984,23,690,36
2021,Salford 015,E02001171,6113,5710,5,365,33
2021,Salford 017,E02001173,9398,6981,514,1734,169
2021,Salford 018,E02001174,5655,4931,112,570,42
2021,Salford 019,E02001175,7405,6747,25,588,45
2021,Salford 020,E02001176,11604,10336,44,1116,108
2021,Salford 021,E02001177,13207,11316,103,1512,276
2021,Salford 023,E02001179,6959,5667,172,952,168
2021,Salford 024,E02001180,5615,4640,76,740,159
2021,Salford 025,E02001181,5896,5412,9,440,35
2021,Salford 026,E02001182,7233,6239,14,926,54
2021,Salford 027,E02001183,7186,6493,10,645,38
2021,Salford 029,E02001185,9605,9028,10,541,26
2021,Salford 030,E02001186,10430,9693,7,689,41
2021,Salford 031,E02006957,8079,7502,13,411,153
2021,Salford 032,E02006958,7918,6489,162,1024,243
2021,Salford 033,E02006959,7948,4634,235,2678,401
2021,Salford 034,E02006960,9263,5159,323,3413,368
2021,Salford 035,E02006961,6573,5043,154,1173,203
2021,Salford 036,E02006962,5098,3297,177,1488,136
2021,Salford 037,E02006963,5926,3353,179,2027,367
2021,Stockport 001,E02001187,6941,6398,9,505,29
2021,Stockport 002,E02001188,8527,7579,11,909,28
2021,Stockport 003,E02001189,8211,7564,12,603,32
2021,Stockport 004,E02001190,7847,7068,8,736,35
2021,Stockport 005,E02001191,5689,5331,5,337,16
2021,Stockport 006,E02001192,6487,5853,21,564,49
2021,Stockport 007,E02001193,6331,5661,13,632,25
2021,Stockport 008,E02001194,6323,5781,19,486,37
2021,Stockport 009,E02001195,7441,6954,6,459,22
2021,Stockport 010,E02001196,7743,7125,17,582,19
2021,Stockport 011,E02001197,6223,5842,9,354,18
2021,Stockport 012,E02001198,7441,6956,7,465,13
2021,Stockport 013,E02001199,7815,7189,18,550,58
2021,Stockport 014,E02001200,7785,6775,23,883,104
2021,Stockport 015,E02001201,5722,5250,6,451,15
2021,Stockport 016,E02001202,6342,5592,14,678,58
2021,Stockport 017,E02001203,5812,5409,10,376,17
2021,Stockport 018,E02001204,8819,8164,10,617,28
2021,Stockport 019,E02001205,8298,7536,15,715,32
2021,Stockport 020,E02001206,7204,6508,21,654,21
2021,Stockport 021,E02001207,6783,6332,4,417,30
2021,Stockport 022,E02001208,7489,6821,7,628,33
2021,Stockport 023,E02001209,7650,6891,12,710,37
2021,Stockport 024,E02001210,7349,6868,6,445,30
2021,Stockport 025,E02001211,6576,6086,9,460,21
2021,Stockport 026,E02001212,6901,6467,8,407,19
2021,Stockport 027,E02001213,9807,8883,16,816,92
2021,Stockport 028,E02001214,7945,7269,15,599,62
2021,Stockport 029,E02001215,5939,5523,12,392,12
2021,Stockport 030,E02001216,7772,7061,20,647,44
2021,Stockport 031,E02001217,6684,6054,12,548,70
2021,Stockport 032,E02001218,5962,5458,16,460,28
2021,Stockport 033,E02001219,5240,4846,18,365,11
2021,Stockport 034,E02001220,5630,5184,17,395,34
2021,Stockport 035,E02001221,5823,5480,15,304,24
2021,Stockport 036,E02001222,6418,5922,8,447,41
2021,Stockport 037,E02001223,6616,6102,17,454,43
2021,Stockport 038,E02001224,5760,5348,13,381,18
2021,Stockport 039,E02001225,7315,6800,25,460,30
2021,Stockport 040,E02001226,7097,6637,5,416,39
2021,Stockport 041,E02001227,5641,5163,14,418,46
2021,Stockport 042,E02001228,6192,5559,13,588,32
2021,Tameside 001,E02001229,10212,9178,15,977,42
2021,Tameside 002,E02001230,5821,5493,11,293,24
2021,Tameside 003,E02001231,7029,6637,2,371,19
2021,Tameside 004,E02001232,8579,7844,4,638,93
2021,Tameside 005,E02001233,7918,7451,10,430,27
2021,Tameside 006,E02001234,7834,7229,12,536,57
2021,Tameside 007,E02001235,7059,6413,6,569,71
2021,Tameside 008,E02001236,6038,5618,4,401,15
2021,Tameside 009,E02001237,7137,6541,8,565,23
