date,geography,geography code,Length of residence in the UK: Total: All usual residents; measures: Value,Length of residence in the UK: Born in the UK; measures: Value,Length of residence in the UK: 10 years or more; measures: Value,"Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value",Length of residence in the UK: Less than 2 years; measures: Value
2021,Manchester 033,E02001077,7429,5968,961,210,151,139
2021,Manchester 034,E02001078,10689,7544,1913,500,339,393
2021,Manchester 035,E02001079,9461,6946,1607,391,297,220
2021,Manchester 036,E02001080,9728,7554,1142,340,356,336
2021,Manchester 037,E02001081,6307,5507,472,145,109,74
2021,Manchester 038,E02001082,6673,5322,670,223,288,170
2021,Manchester 039,E02001083,8242,6557,866,325,290,204
2021,Manchester 040,E02001084,8603,6843,1051,243,248,218
2021,Manchester 041,E02001085,8970,6620,1508,442,213,187
2021,Manchester 042,E02001086,6882,5294,925,230,184,249
2021,Manchester 043,E02001087,9281,7673,889,275,250,194
2021,Manchester 044,E02001088,9123,7574,957,281,191,120
2021,Manchester 045,E02001089,8040,6346,1106,227,164,197
2021,Manchester 046,E02001090,6978,5924,602,195,126,131
2021,Manchester 047,E02001091,8384,7185,720,201,125,153
2021,Manchester 048,E02001092,9230,7485,976,325,207,237
2021,Manchester 049,E02001093,9893,7935,1014,414,292,238
2021,Manchester 050,E02001094,9989,7850,1052,460,327,300
2021,Manchester 051,E02001095,9033,7378,846,363,227,219
2021,Manchester 052,E02001096,8022,6922,590,214,173,123
2021,Manchester 053,E02001097,8567,6970,836,395,230,136
2021,Manchester 054,E02006902,7882,5142,716,552,634,838
2021,Manchester 055,E02006912,10127,5988,796,557,824,1962
2021,Manchester 056,E02006913,7802,4425,1556,688,610,523
2021,Manchester 057,E02006914,7859,4908,605,376,550,1420
2021,Manchester 058,E02006915,9363,5035,2496,803,659,370
2021,Manchester 059,E02006916,6983,4927,919,435,361,341
2021,Manchester 060,E02006917,6428,4077,476,445,526,904
2021,Manchester 061,E02006983,7039,5080,945,444,346,224
2021,Manchester 062,E02006984,5650,3995,693,415,296,251
2021,Manchester 063,E02006985,9280,4082,2198,1257,953,790
2021,Manchester 064,E02006986,6354,3408,1158,695,607,486
2021,Oldham 001,E02001098,5940,5705,151,31,37,16
2021,Oldham 002,E02001099,5678,5344,178,79,45,32
2021,Oldham 003,E02001100,6037,5663,236,76,35,27
2021,Oldham 004,E02001101,5674,5500,134,17,7,16
2021,Oldham 005,E02001102,6030,5755,191,41,26,17
2021,Oldham 006,E02001103,5504,5327,137,13,23,4
2021,Oldham 007,E02001104,7312,6857,267,96,45,47
2021,Oldham 008,E02001105,5954,5642,190,57,51,14
2021,Oldham 009,E02001106,6028,5559,333,48,48,40
2021,Oldham 010,E02001107,6923,5696,805,189,128,105
2021,Oldham 011,E02001108,5952,5294,285,196,134,43
2021,Oldham 012,E02001109,7752,6927,342,182,158,143
2021,Oldham 013,E02001110,6477,6291,134,24,11,17
2021,Oldham 014,E02001111,9135,5946,1426,792,667,304
2021,Oldham 015,E02001112,5995,5551,315,81,28,20
2021,Oldham 016,E02001113,9436,5821,2527,421,398,269
2021,Oldham 017,E02001114,8848,7457,933,212,137,109
2021,Oldham 018,E02001115,5991,5692,180,63,41,15
2021,Oldham 019,E02001116,7914,4969,1151,522,851,421
