date,geography,geography code,Length of residence in the UK: Total: All usual residents; measures: Value,Length of residence in the UK: Born in the UK; measures: Value,Length of residence in the UK: 10 years or more; measures: Value,"Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value",Length of residence in the UK: Less than 2 years; measures: Value
2021,Bolton 024D,E01004914,1170,1134,30,3,2,1
2021,Bolton 024E,E01004915,1274,1221,35,7,5,6
2021,Bolton 024F,E01004916,1466,1394,48,11,3,10
2021,Bolton 024G,E01004918,1225,1180,37,5,3,0
2021,Bolton 025A,E01004846,1411,818,255,139,125,74
2021,Bolton 025B,E01004847,2280,1330,498,185,174,93
2021,Bolton 025C,E01004852,1732,997,477,113,80,65
2021,Bolton 025D,E01004877,2074,1289,480,154,97,54
2021,Bolton 025E,E01004879,1657,1085,355,83,91,43
2021,Bolton 026A,E01004830,1754,1226,187,95,140,106
2021,Bolton 026B,E01004831,1828,1401,206,78,68,75
2021,Bolton 026C,E01004833,1529,1348,124,17,17,23
2021,Bolton 026D,E01004839,2370,1836,298,105,79,52
2021,Bolton 027A,E01004814,1604,1217,200,77,74,36
2021,Bolton 027B,E01004855,1481,1305,73,31,31,41
2021,Bolton 027C,E01004856,1540,1189,150,54,78,69
2021,Bolton 027D,E01004857,1901,1469,200,91,75,66
2021,Bolton 028A,E01004891,1540,1476,44,5,7,8
2021,Bolton 028B,E01004893,1524,1450,53,3,6,12
2021,Bolton 028C,E01004894,1926,1826,55,10,13,22
2021,Bolton 028E,E01004901,1766,1692,52,12,5,5
2021,Bolton 028F,E01033218,1573,1491,51,18,8,5
2021,Bolton 028G,E01033219,1421,1336,59,14,8,4
2021,Bolton 029A,E01004816,2938,1921,583,132,115,187
2021,Bolton 029B,E01004872,1694,1364,153,45,78,54
2021,Bolton 029C,E01004873,2021,1495,332,88,71,35
2021,Bolton 029D,E01004875,1669,1483,118,41,18,9
2021,Bolton 029E,E01004880,1478,1093,215,55,38,77
2021,Bolton 030A,E01004892,1580,1513,32,26,1,8
2021,Bolton 030B,E01004896,1315,1272,36,7,0,0
2021,Bolton 030C,E01004899,1596,1333,182,36,35,10
2021,Bolton 030D,E01004900,1616,1312,201,42,26,35
2021,Bolton 031A,E01004776,1822,1735,52,16,13,6
2021,Bolton 031B,E01004895,1326,1277,33,8,5,3
2021,Bolton 031C,E01004936,2170,2063,62,28,11,6
2021,Bolton 031D,E01004938,1548,1451,62,15,5,15
2021,Bolton 031E,E01004939,1598,1538,41,11,1,7
2021,Bolton 032A,E01004858,1586,1417,86,22,34,27
2021,Bolton 032B,E01004859,1506,1336,84,44,21,21
2021,Bolton 032C,E01004860,1470,1363,45,24,24,14
2021,Bolton 032D,E01004902,1845,1633,94,52,41,25
2021,Bolton 032E,E01004906,1797,1627,79,37,33,21
2021,Bolton 033A,E01004861,1961,1653,157,78,36,37
2021,Bolton 033B,E01004862,1436,1285,89,26,18,18
2021,Bolton 033C,E01004863,1587,1402,100,29,38,18
2021,Bolton 033D,E01004874,1755,1562,113,28,35,17
2021,Bolton 033E,E01004876,1967,1645,113,39,81,89
2021,Bolton 034A,E01004903,1445,1399,27,7,8,4
2021,Bolton 034B,E01004904,1678,1587,62,14,9,6
2021,Bolton 034C,E01004905,1596,1474,71,12,26,13
2021,Bolton 034D,E01004907,1310,1233,56,10,8,3
2021,Bolton 034E,E01004908,1298,1249,35,7,6,1
2021,Bolton 034F,E01004909,1397,1327,49,10,8,3
2021,Bolton 034G,E01004910,2050,1945,65,20,7,13
2021,Bolton 035A,E01004933,1314,1264,38,9,1,2
2021,Bolton 035B,E01004934,1442,1355,65,17,3,2
2021,Bolton 035C,E01004935,1838,1752,65,7,6,8
2021,Bolton 035D,E01004937,1636,1583,40,9,3,1
2021,Bolton 035E,E01004940,1431,1357,52,14,7,1
2021,Bury 001A,E01005014,1465,1404,30,12,15,4
2021,Bury 001B,E01005015,1493,1425,39,5,24,0
2021,Bury 001C,E01005016,1494,1423,56,11,3,1
2021,Bury 001D,E01005017,1835,1752,56,18,8,1
2021,Bury 001E,E01005018,1534,1475,36,11,8,4
2021,Bury 001F,E01005021,1218,1169,38,4,4,3
2021,Bury 002A,E01005019,1503,1449,44,3,5,2
2021,Bury 002B,E01005023,1277,1227,40,7,3,0
2021,Bury 002C,E01005046,1480,1433,32,7,5,3
2021,Bury 002D,E01005048,1657,1602,49,2,2,2
2021,Bury 003A,E01005020,1363,1326,26,3,5,3
2021,Bury 003B,E01005022,1497,1451,35,8,2,1
2021,Bury 003C,E01005047,1476,1443,31,1,1,0
2021,Bury 003D,E01005049,1645,1580,43,11,5,6
2021,Bury 003E,E01005051,1527,1460,56,8,3,0
2021,Bury 004A,E01004976,1546,1348,140,24,27,7
2021,Bury 004B,E01004977,1706,1574,81,14,21,16
2021,Bury 004C,E01004978,1857,1515,178,31,66,67
2021,Bury 004D,E01004981,1472,1410,40,9,11,2
2021,Bury 004E,E01004982,1485,1407,53,8,8,9
2021,Bury 005A,E01004961,1450,1364,53,22,8,3
2021,Bury 005B,E01004965,1238,1168,62,6,2,0
2021,Bury 005C,E01004966,1816,1610,114,53,24,15
2021,Bury 005D,E01004967,1191,1073,103,4,7,4
2021,Bury 006A,E01004963,1478,1393,57,10,14,4
2021,Bury 006B,E01004968,1484,1427,44,5,3,5
2021,Bury 006C,E01005050,2122,2040,63,9,5,5
2021,Bury 006D,E01005052,1444,1402,28,9,5,0
2021,Bury 006E,E01005053,1527,1471,43,5,6,2
2021,Bury 007A,E01004954,1449,1280,67,18,35,49
2021,Bury 007B,E01004955,1357,1187,108,22,15,25
2021,Bury 007C,E01004956,1776,1525,118,52,64,17
2021,Bury 007D,E01004957,1901,1469,184,138,60,50
2021,Bury 007E,E01004960,1673,1275,147,110,94,47
2021,Bury 008A,E01004958,1508,1193,148,46,67,54
2021,Bury 008B,E01004959,1734,1346,168,94,74,52
2021,Bury 008C,E01004979,1812,1256,242,90,121,103
2021,Bury 008D,E01004980,1456,1123,157,65,69,42
2021,Bury 008E,E01005024,2649,1484,409,263,279,214
2021,Bury 008F,E01005026,2193,1261,478,172,176,106
2021,Bury 009A,E01004947,1547,1369,81,37,38,22
2021,Bury 009B,E01004948,1871,1654,123,36,35,23
2021,Bury 009C,E01004962,2013,1882,75,31,20,5
2021,Bury 009D,E01004964,1852,1694,84,29,26,19
2021,Bury 010A,E01004949,1413,1348,47,8,3,7
2021,Bury 010B,E01004950,1488,1450,37,1,0,0
2021,Bury 010C,E01004951,1563,1468,75,2,13,5
2021,Bury 010D,E01004952,1335,1236,77,6,11,5
2021,Bury 010E,E01004953,1533,1444,71,10,4,4
2021,Bury 011A,E01005025,1697,1395,167,35,68,32
2021,Bury 011B,E01005027,1861,1310,280,101,91,79
2021,Bury 011C,E01005028,2235,1578,413,111,72,61
2021,Bury 011D,E01005029,1983,1368,368,102,80,65
2021,Bury 012A,E01005000,1471,1398,59,3,6,5
2021,Bury 012B,E01005001,1278,1205,60,8,4,1
2021,Bury 012C,E01005005,1409,1380,26,3,0,0
2021,Bury 012D,E01005006,2019,1927,59,16,12,5
2021,Bury 013A,E01005030,1787,1487,153,62,60,25
2021,Bury 013B,E01005054,1571,1431,92,14,25,9
2021,Bury 013C,E01005059,1786,1440,222,64,40,20
2021,Bury 013D,E01005060,1734,1536,129,42,17,10
2021,Bury 014A,E01004997,1550,1452,71,9,7,11
2021,Bury 014B,E01004998,1658,1584,55,4,11,4
2021,Bury 014C,E01004999,1477,1407,50,14,5,1
2021,Bury 014D,E01005002,1508,1443,47,12,4,2
2021,Bury 014E,E01005003,1485,1336,81,23,29,16
2021,Bury 015A,E01004991,1382,1259,81,22,11,9
2021,Bury 015B,E01004992,1429,1308,76,27,6,12
2021,Bury 015C,E01004993,1988,1764,160,26,23,15
2021,Bury 015D,E01004994,1383,1223,74,35,29,22
2021,Bury 016A,E01004990,1587,1466,63,31,17,10
2021,Bury 016B,E01004996,1511,1373,63,34,30,11
2021,Bury 016C,E01005004,1582,1439,80,31,16,16
2021,Bury 016D,E01005008,2172,1886,146,53,46,41
2021,Bury 016E,E01005009,1766,1518,119,61,40,28
2021,Bury 017A,E01004945,1533,1436,80,11,2,4
2021,Bury 017B,E01005055,1448,1314,104,16,2,12
2021,Bury 017C,E01005056,1272,1158,77,18,10,9
2021,Bury 017D,E01005057,1618,1544,62,6,0,6
2021,Bury 017E,E01005058,1346,1217,97,18,6,8
2021,Bury 018A,E01004995,1503,1440,49,7,2,5
2021,Bury 018B,E01005010,1605,1491,81,7,10,16
2021,Bury 018C,E01005012,1756,1584,95,37,26,14
2021,Bury 018D,E01005013,2624,2294,185,75,38,32
2021,Bury 019A,E01004984,1391,1253,97,16,7,18
2021,Bury 019B,E01004985,1460,1274,143,21,17,5
2021,Bury 019C,E01004989,1421,1273,109,18,14,7
2021,Bury 019D,E01005007,1509,1383,83,22,16,5
2021,Bury 019E,E01005011,1431,1349,56,10,11,5
2021,Bury 020A,E01004983,1355,1067,180,55,29,24
2021,Bury 020B,E01004986,1626,1405,131,51,29,10
2021,Bury 020C,E01004987,1310,1171,78,29,21,11
2021,Bury 020D,E01004988,1388,1244,92,24,16,12
2021,Bury 021A,E01004941,1868,1633,130,55,33,17
2021,Bury 021B,E01004942,1699,1364,196,68,52,19
2021,Bury 021C,E01004943,1836,1509,189,83,40,15
2021,Bury 021D,E01004944,1517,1338,127,26,13,13
2021,Bury 021E,E01004946,1679,1529,90,25,20,15
2021,Bury 022A,E01004969,1511,1314,105,26,22,44
2021,Bury 022B,E01004970,1627,1402,160,29,29,7
2021,Bury 022C,E01004971,1480,1296,141,23,11,9
2021,Bury 022D,E01005034,1789,1623,120,27,12,7
2021,Bury 023A,E01004972,1493,1258,156,48,19,12
2021,Bury 023B,E01004973,1544,1367,122,21,13,21
2021,Bury 023C,E01004975,1497,1338,92,32,24,11
2021,Bury 023D,E01005039,1575,1386,118,35,21,15
2021,Bury 023E,E01005045,1618,1423,131,22,30,12
2021,Bury 024A,E01004974,1409,1261,102,27,13,6
2021,Bury 024B,E01005033,1675,1362,195,58,34,26
2021,Bury 024C,E01005036,1982,1649,185,61,52,35
2021,Bury 024D,E01005037,1493,1304,125,27,17,20
2021,Bury 025A,E01005031,1533,1299,149,36,29,20
2021,Bury 025B,E01005032,1341,1096,139,51,45,10
2021,Bury 025C,E01005035,1454,1350,76,17,5,6
2021,Bury 025D,E01005038,1361,1167,142,34,9,9
2021,Bury 026A,E01005040,1847,1433,271,52,60,31
2021,Bury 026B,E01005041,1855,1442,275,47,53,38
2021,Bury 026C,E01005042,1952,1618,212,49,49,24
2021,Bury 026D,E01005043,1945,1594,239,52,35,25
2021,Bury 026E,E01005044,1964,1513,254,69,74,54
2021,Manchester 001A,E01005098,1631,1323,186,54,51,17
2021,Manchester 001B,E01005099,1943,1400,321,156,43,23
2021,Manchester 001C,E01005100,1655,1364,174,63,32,22
2021,Manchester 001D,E01005102,1373,1192,87,37,36,21
2021,Manchester 001E,E01005103,1835,1509,181,82,43,20
2021,Manchester 002A,E01005101,1868,1494,233,80,40,21
2021,Manchester 002B,E01005135,1864,1297,377,117,48,25
2021,Manchester 002C,E01005136,1510,1262,132,67,37,12
2021,Manchester 002D,E01005138,2480,1731,417,205,89,38
2021,Manchester 002F,E01034107,1412,1007,179,73,84,69
2021,Manchester 002G,E01034108,2074,1407,360,132,109,66
2021,Manchester 003B,E01005139,1966,1556,262,62,40,46
2021,Manchester 003C,E01005141,1973,1496,262,130,63,22
2021,Manchester 003D,E01005251,1678,1330,176,97,41,34
2021,Manchester 003E,E01005252,1929,1558,213,84,46,28
2021,Manchester 003F,E01033685,1586,1110,255,80,104,37
2021,Manchester 003G,E01033687,1341,1042,147,64,46,42
2021,Manchester 004A,E01005104,1975,1266,365,172,113,59
2021,Manchester 004B,E01005160,1974,1363,339,91,110,71
2021,Manchester 004C,E01005161,1814,1227,259,108,113,107
2021,Manchester 004D,E01005162,1896,1277,339,117,105,58
2021,Manchester 004E,E01005163,1787,1197,340,99,79,72
2021,Manchester 005A,E01005247,1421,1332,54,8,16,11
2021,Manchester 005B,E01005248,1330,1148,147,13,12,10
2021,Manchester 005C,E01005249,2200,1788,262,69,52,29
2021,Manchester 005D,E01005250,2234,1659,276,179,67,53
2021,Manchester 005E,E01005253,1705,1350,153,136,41,25
2021,Manchester 005F,E01005254,1606,1477,60,26,36,7
2021,Manchester 006A,E01005164,2345,1305,466,223,187,164
2021,Manchester 006B,E01005205,2192,1416,383,183,137,73
2021,Manchester 006C,E01005206,1875,1237,283,166,122,67
2021,Manchester 006D,E01005207,2019,1082,264,246,285,142
2021,Manchester 007A,E01005223,1616,1013,311,117,97,78
2021,Manchester 007B,E01005224,2117,1091,427,255,207,137
2021,Manchester 007C,E01005225,2092,1484,228,159,166,55
2021,Manchester 007D,E01005226,1940,1071,278,188,220,183
2021,Manchester 007E,E01005229,1502,1373,69,34,20,6
2021,Manchester 008A,E01005145,3003,1249,800,467,271,216
2021,Manchester 008C,E01005149,2185,1014,520,308,177,166
2021,Manchester 008D,E01005165,2348,1255,473,206,228,186
2021,Manchester 008E,E01005166,2142,1092,546,190,180,134
2021,Manchester 008F,E01005167,2315,1164,574,247,195,135
2021,Manchester 008G,E01034109,1526,695,385,160,162,124
2021,Manchester 008H,E01034110,1497,771,377,152,100,97
2021,Manchester 009A,E01005202,2382,1449,333,283,178,139
2021,Manchester 009B,E01005203,2025,1351,373,170,83,48
2021,Manchester 009D,E01005227,2078,1235,255,232,225,131
2021,Manchester 009E,E01005228,2251,1425,463,212,91,60
2021,Manchester 009F,E01033678,1776,1044,398,168,101,65
2021,Manchester 009G,E01033679,1397,899,294,63,84,57
2021,Manchester 011A,E01005256,2640,1787,450,198,132,73
2021,Manchester 011B,E01005257,2010,1463,267,126,100,54
2021,Manchester 011C,E01005258,1798,1444,177,95,63,19
2021,Manchester 011D,E01005259,1773,1313,142,87,168,63
