date,geography,geography code,Passports held: Total; measures: Value,Passports held: Europe; measures: Value,Passports held: Europe: United Kingdom; measures: Value,Passports held: Europe: Ireland; measures: Value,Passports held: Europe: Other Europe; measures: Value,Passports held: Europe: Other Europe: EU Member countries; measures: Value,Passports held: Europe: Other Europe: EU Member countries: France; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value,Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value,Passports held: Europe: Other Europe: Rest of Europe; measures: Value,Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value,Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value,Passports held: Africa; measures: Value,Passports held: Africa: North Africa; measures: Value,Passports held: Africa: Central and Western Africa; measures: Value,Passports held: Africa: South and Eastern Africa; measures: Value,Passports held: Middle East and Asia; measures: Value,Passports held: Middle East and Asia: Middle East; measures: Value,Passports held: Middle East and Asia: Eastern Asia; measures: Value,Passports held: Middle East and Asia: Southern Asia; measures: Value,Passports held: Middle East and Asia: South-East Asia; measures: Value,Passports held: Middle East and Asia: Central Asia; measures: Value,Passports held: The Americas and the Caribbean; measures: Value,Passports held: The Americas and the Caribbean: North America and the Caribbean; measures: Value,Passports held: The Americas and the Caribbean: Central and South America; measures: Value,"Passports held: Antarctica and Oceania, including Australasia; measures: Value",Passports held: British Overseas Territories; measures: Value,Passports held: No passport held; measures: Value
2021,Dudley 027,E02002026,6783,5674,5610,9,55,53,0,1,2,1,12,1,14,5,17,2,0,2,1,0,0,1,23,0,2,16,5,0,6,6,0,0,0,1079
2021,Dudley 028,E02002027,5379,4860,4821,15,24,23,4,1,9,0,1,1,1,1,5,1,0,1,2,0,1,1,9,0,1,7,1,0,5,5,0,1,0,502
2021,Dudley 029,E02002028,5732,4683,4638,14,31,31,2,3,2,3,3,0,9,0,9,0,0,0,1,0,0,1,9,0,1,6,2,0,2,1,1,0,0,1037
2021,Dudley 030,E02002029,6227,5244,5127,37,80,78,1,0,16,7,1,1,12,27,13,2,0,2,8,0,4,4,52,11,5,35,1,0,12,6,6,0,0,911
2021,Dudley 031,E02002030,6811,5322,5204,13,105,102,2,8,5,6,3,2,30,17,29,3,0,3,6,0,3,3,40,2,5,32,1,0,12,11,1,2,0,1429
2021,Dudley 032,E02002031,6260,5111,4855,14,242,238,6,1,46,6,8,5,16,85,65,4,0,4,3,1,1,1,134,1,1,128,4,0,7,4,3,0,0,1005
2021,Dudley 033,E02002032,10216,7906,7700,13,193,182,11,3,27,9,7,1,29,30,65,11,3,8,26,1,14,11,80,27,4,45,4,0,5,4,1,1,0,2198
2021,Dudley 034,E02002033,7814,6430,6283,22,125,119,0,10,4,8,3,4,29,25,36,6,0,6,8,0,6,2,51,20,12,16,3,0,9,8,1,2,0,1314
2021,Dudley 035,E02002034,8170,6735,6544,29,162,155,37,11,10,4,5,10,19,13,46,7,0,7,16,2,3,11,46,1,12,29,4,0,19,16,3,2,0,1352
2021,Dudley 036,E02002035,6117,5369,5303,23,43,43,1,4,11,2,3,0,4,3,15,0,0,0,11,3,2,6,29,4,5,16,4,0,6,6,0,0,0,702
2021,Dudley 037,E02002036,6667,4861,4550,29,282,276,6,5,25,1,12,5,44,61,117,6,0,6,32,2,12,18,175,13,4,151,6,1,17,13,4,2,1,1579
2021,Dudley 038,E02002037,5924,4743,4672,29,42,40,6,1,1,7,4,0,2,4,15,2,0,2,2,0,2,0,10,1,2,4,3,0,1,1,0,0,0,1168
2021,Dudley 039,E02002038,9621,7697,7487,17,193,181,4,1,22,9,7,11,37,32,58,12,1,11,40,0,12,28,98,28,19,37,14,0,23,17,6,0,0,1763
2021,Dudley 040,E02002039,6208,5300,5188,14,98,89,11,9,10,5,2,0,19,8,25,9,3,6,5,1,1,3,31,1,10,18,2,0,10,10,0,1,0,861
2021,Dudley 041,E02002040,5934,5301,5225,19,57,56,5,11,11,2,6,1,7,0,13,1,1,0,2,0,1,1,24,0,8,11,5,0,2,2,0,1,0,604
2021,Dudley 042,E02002041,6271,5209,5135,17,57,56,1,1,9,0,0,0,6,10,29,1,0,1,10,0,1,9,46,4,2,32,6,2,18,16,2,1,0,987
2021,Dudley 043,E02002042,8027,6934,6864,17,53,51,6,9,2,1,3,0,1,9,20,2,0,2,4,2,0,2,25,1,1,16,6,1,10,9,1,4,0,1050
2021,Sandwell 001,E02002043,8758,6625,6283,7,335,318,0,11,42,13,13,7,153,34,45,17,1,16,40,4,25,11,117,4,0,111,2,0,9,5,4,2,4,1961
2021,Sandwell 002,E02002044,8056,6492,6083,17,392,385,8,5,43,44,13,12,114,54,92,7,1,6,82,5,49,28,217,3,3,208,3,0,28,28,0,0,1,1236
2021,Sandwell 003,E02002045,7807,5916,5554,11,351,347,3,7,84,16,2,8,141,29,57,4,2,2,20,0,11,9,123,0,3,114,6,0,10,8,2,0,0,1738
2021,Sandwell 004,E02002046,5711,3829,3506,8,315,311,0,6,35,21,10,5,163,15,56,4,3,1,18,0,6,12,85,1,2,79,3,0,21,21,0,0,1,1757
2021,Sandwell 005,E02002047,7553,5707,5317,11,379,371,3,1,49,32,29,8,87,27,135,8,1,7,36,4,22,10,147,7,3,127,10,0,18,16,2,0,0,1645
2021,Sandwell 006,E02002048,6828,5975,5779,43,153,140,0,4,20,6,0,3,35,39,33,13,0,13,14,3,5,6,147,3,1,140,3,0,15,14,1,0,0,677
2021,Sandwell 007,E02002049,6307,4703,4394,20,289,288,1,2,45,9,5,11,117,17,81,1,0,1,65,2,57,6,78,5,0,65,8,0,32,31,1,0,0,1429
2021,Sandwell 009,E02002051,6174,4084,3722,16,346,338,2,3,37,23,31,36,123,26,57,8,0,8,30,0,17,13,118,1,8,107,2,0,9,8,1,0,0,1933
2021,Sandwell 010,E02002052,11361,8308,7246,17,1045,1029,10,14,214,74,20,14,412,89,182,16,1,15,78,4,51,23,485,4,9,466,6,0,76,49,27,0,0,2414
2021,Sandwell 011,E02002053,6326,5302,4882,61,359,355,7,10,125,12,20,3,74,60,44,4,0,4,53,1,47,5,165,11,5,147,2,0,29,28,1,0,2,775
2021,Sandwell 012,E02002054,5818,4896,4545,18,333,327,4,6,24,11,11,10,103,54,104,6,1,5,26,1,17,8,181,4,3,171,3,0,28,24,4,3,0,684
2021,Sandwell 013,E02002055,11121,8276,7046,13,1217,1162,12,15,255,155,18,53,332,96,226,55,47,8,121,8,61,52,655,15,5,630,5,0,55,50,5,0,0,2014
2021,Sandwell 014,E02002056,9880,6824,6125,16,683,673,8,4,97,28,17,42,331,37,109,10,1,9,111,13,77,21,141,0,12,127,2,0,34,34,0,0,0,2770
2021,Sandwell 015,E02002057,10722,8158,7370,11,777,762,13,11,99,31,15,49,273,77,194,15,0,15,96,0,74,22,365,3,8,344,10,0,28,24,4,0,1,2074
2021,Sandwell 016,E02002058,13570,10335,8982,14,1339,1310,26,38,282,48,30,50,501,75,260,29,2,27,176,5,126,45,729,7,17,697,8,0,39,30,9,2,0,2289
2021,Sandwell 017,E02002059,11791,9194,7516,16,1662,1636,12,71,439,148,11,82,492,77,304,26,2,24,58,12,32,14,807,20,2,767,18,0,44,41,3,0,2,1686
2021,Sandwell 018,E02002060,7356,5374,4460,24,890,870,2,12,183,96,16,40,298,79,144,20,1,19,53,4,40,9,478,22,3,450,3,0,21,18,3,0,0,1430
2021,Sandwell 019,E02002061,7065,5279,4258,15,1006,963,4,10,372,61,29,22,252,55,158,43,0,43,50,9,32,9,697,7,6,679,5,0,28,27,1,1,2,1008
2021,Sandwell 020,E02002062,8958,6576,5361,26,1189,1175,15,23,263,147,29,18,381,69,230,14,2,12,80,4,59,17,905,19,6,870,10,0,55,53,2,1,0,1341
2021,Sandwell 021,E02002063,10329,8111,7187,31,893,864,13,20,150,48,33,54,260,125,161,29,0,29,97,3,75,19,528,4,9,509,6,0,53,45,8,0,0,1540
2021,Sandwell 022,E02002064,12498,9323,8613,19,691,655,6,32,92,36,8,15,240,54,172,36,0,36,73,3,50,20,249,7,13,222,7,0,76,65,11,2,0,2775
2021,Sandwell 023,E02002065,14172,10692,8893,19,1780,1755,34,35,679,221,146,21,142,165,312,25,2,23,200,14,167,19,1961,18,3,1928,12,0,68,51,17,1,0,1250
