"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
"2021","Harrow","E09000015",261204,127612,432,1912,8931,14802,10089,16070,33535,10121,15336,15996,6368
"2021","Havering","E09000016",262052,211166,311,1189,2478,2452,3006,6347,16522,4714,6271,5487,2109
"2021","Hillingdon","E09000017",305910,188260,392,1728,6344,7603,6842,15116,34753,9655,13071,15524,6622
"2021","Hounslow","E09000018",288181,145556,345,1482,7612,8453,7524,16733,38829,12554,18170,22289,8634
"2021","Kingston upon Thames","E09000021",168063,111412,291,882,2475,3205,3725,7640,16123,4728,6605,7458,3519
"2021","Merton","E09000024",215188,127245,374,1491,4364,4639,5682,11786,25492,8165,10653,11239,4058
"2021","Redbridge","E09000026",310262,174963,263,1848,8982,11529,10481,16119,33398,11143,16038,18288,7210
"2021","Richmond upon Thames","E09000027",195278,139053,549,1213,2828,3408,3832,7812,13650,4753,6718,8043,3419
"2021","Sutton","E09000029",209642,151447,320,1165,2880,3162,3734,7816,19975,5389,5952,5646,2156
"2021","Waltham Forest","E09000031",278423,171070,212,1952,6206,5603,6994,15600,29230,9966,14110,12938,4542
"2021","Bracknell Forest","E06000036",124607,102964,174,465,1002,982,1038,2614,6905,1855,2629,2786,1193
"2021","Brighton and Hove","E06000043",277102,222760,412,1070,2042,2795,2905,6193,12821,4780,7064,9228,5032
"2021","Isle of Wight","E06000046",140461,131851,308,601,773,638,632,841,2130,549,762,883,493
"2021","Medway","E06000035",279773,241119,378,1086,2517,2167,2215,4104,12324,3410,4175,4219,2059
"2021","Milton Keynes","E06000042",287060,213215,308,1084,2618,3057,3077,7855,23503,7192,10593,10519,4039
"2021","Portsmouth","E06000044",208003,172763,253,669,1206,1349,1409,2508,9971,3311,4861,6133,3570
"2021","Reading","E06000038",174226,115894,202,691,1838,1548,1854,4552,15701,5692,8749,11819,5686
"2021","Slough","E06000039",158501,88806,146,820,4353,4183,3432,7360,23761,5858,7636,8522,3624
"2021","Southampton","E06000045",248921,188823,249,776,1798,1710,1722,3646,18474,5832,8640,10499,6752
"2021","West Berkshire","E06000037",161448,141996,300,628,1189,1162,1252,2049,5144,1553,2430,2685,1060
"2021","Windsor and Maidenhead","E06000040",153494,120245,306,836,2391,2357,2112,3842,8534,2728,3790,4483,1870
"2021","Wokingham","E06000041",177502,143891,287,706,1907,1910,1767,3643,10473,3027,3815,4127,1949
"2021","Buckinghamshire","E06000060",553078,461030,1084,2763,7141,7204,6659,11076,26045,7128,9610,9289,4049
"2021","East Sussex","E10000011",545847,492025,1370,2732,4283,4116,3730,6188,13844,4061,5417,5668,2413
"2021","Hampshire","E10000014",1400899,1250772,3032,5984,10302,9163,8765,15169,44054,12580,16034,17407,7637
"2021","Kent","E10000016",1576069,1381983,2436,5657,10364,10180,10507,20628,59820,18626,22317,23121,10430
"2021","Oxfordshire","E10000025",725289,589576,1348,2926,5763,5592,6343,12440,34206,12030,18852,23263,12950
"2021","Surrey","E10000030",1203105,987483,2674,5967,12892,13948,13924,25721,58764,17190,22818,27722,14002
"2021","West Sussex","E10000032",882676,768754,1990,3919,6809,7192,6652,11635,32294,9906,13662,14251,5612
"2021","Bath and North East Somerset","E06000022",193411,170090,332,726,1150,980,1095,1948,5288,1941,3043,3962,2856
"2021","Bristol, City of","E06000023",472465,383497,469,1447,3292,2928,3386,7822,25476,8561,12271,15315,8001
"2021","Cornwall","E06000052",570302,540148,848,1782,2599,2273,2214,2880,7049,2368,2997,3432,1712
"2021","Isles of Scilly","E06000053",2053,1940,1,4,7,4,5,8,26,13,9,21,15
"2021","North Somerset","E06000024",216729,198533,309,698,1085,1024,1023,1498,5118,1720,2453,2386,882
"2021","Plymouth","E06000026",264695,240345,346,784,1329,1229,1050,1798,7165,2370,3182,3401,1696
"2021","Bournemouth, Christchurch and Poole","E06000058",400197,338248,724,1653,2487,2694,2772,5260,17744,6105,8844,9342,4324
"2021","South Gloucestershire","E06000025",290423,259756,267,756,1346,1201,1309,2448,8793,3021,4421,4713,2392
"2021","Swindon","E06000030",233410,185756,374,978,1708,1449,1483,3255,14582,5010,7259,8511,3045
"2021","Torbay","E06000027",139324,129424,210,502,734,640,609,866,2888,784,1103,1006,558
"2021","Wiltshire","E06000054",510332,459802,1234,2271,3790,3277,3532,5090,13176,3967,5427,6425,2341
"2021","Devon","E10000008",811640,753788,1545,2940,4393,3852,3545,4995,13269,4388,6335,7504,5086
"2021","Dorset","E06000059",379579,354852,1026,1770,2453,2196,1933,2646,5698,1539,2042,2282,1142
"2021","Gloucestershire","E10000013",645076,580562,1110,2528,4374,3544,3578,5996,18059,5762,7810,8476,3277
"2021","Somerset","E10000027",571547,522751,1147,2066,2960,2525,2311,3325,13031,4586,6611,6963,3271
"2021","Isle of Anglesey","W06000001",68876,66583,71,172,279,256,186,272,476,114,193,210,64
"2021","Gwynedd","W06000002",117394,111034,132,190,333,346,330,529,1334,479,667,1184,836
"2021","Conwy","W06000003",114742,108801,141,317,472,515,476,600,1601,443,554,593,229
"2021","Denbighshire","W06000004",95819,91306,101,247,311,333,271,409,1334,299,408,472,328
"2021","Flintshire","W06000005",154964,144952,149,323,517,505,486,665,2848,1205,1511,1387,416
"2021","Wrexham","W06000006",135118,124476,79,211,347,382,345,606,3870,1105,1512,1572,613
"2021","Powys","W06000023",133168,126711,191,325,569,434,485,603,1700,532,680,710,228
"2021","Ceredigion","W06000008",71476,66430,90,185,239,299,252,380,1213,341,434,1039,574
"2021","Pembrokeshire","W06000009",123358,117408,197,426,632,461,458,675,1339,398,453,613,298
"2021","Carmarthenshire","W06000010",187899,178385,156,380,533,543,554,810,3083,870,1082,1051,452
"2021","Swansea","W06000011",238490,216019,152,430,715,922,1126,1910,6791,1898,2837,3605,2085
"2021","Neath Port Talbot","W06000012",142289,137115,79,233,297,364,389,550,1429,354,529,607,343
"2021","Bridgend","W06000013",145489,139225,86,242,439,427,475,641,1991,499,587,556,321
"2021","Vale of Glamorgan","W06000014",131940,124315,149,375,574,637,646,859,2066,441,678,733,467
"2021","Cardiff","W06000015",362308,302460,248,971,1940,2503,3056,5345,16618,5276,7402,9615,6874
"2021","Rhondda Cynon Taff","W06000016",237649,228753,101,246,415,562,518,806,2379,661,929,1157,1122
"2021","Merthyr Tydfil","W06000024",58837,55553,46,38,102,125,96,163,1295,395,393,377,254
"2021","Caerphilly","W06000018",175949,170772,84,203,375,423,411,573,1520,505,540,391,152
"2021","Blaenau Gwent","W06000019",66903,64757,24,41,98,113,97,177,727,224,286,266,93
"2021","Torfaen","W06000020",92276,88990,60,171,242,268,211,287,1030,269,330,312,106
"2021","Monmouthshire","W06000021",92955,87843,138,290,441,431,397,547,1243,309,515,548,253
"2021","Newport","W06000022",159592,140174,92,396,757,783,1031,1645,6334,1886,2503,2784,1207
