"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
"2021","Wakefield","E08000036",353370,323296,163,492,1061,1196,1155,1920,10040,3799,4684,4032,1532
"2021","Derby","E06000015",261363,210170,258,1175,3378,2672,2176,3940,15501,5029,6284,7673,3107
"2021","Leicester","E06000016",368571,217078,309,1328,8889,12778,7438,13983,38648,13107,20572,23244,11197
"2021","Rutland","E06000017",41047,37658,77,158,295,240,246,344,764,293,333,443,196
"2021","Nottingham","E06000018",323632,244133,279,1350,3309,2350,2148,5345,23204,7634,11345,13472,9063
"2021","North Northamptonshire","E06000061",359525,303952,496,1404,2503,2292,2124,4037,16290,5849,9088,8274,3216
"2021","West Northamptonshire","E06000062",425729,345735,492,1590,3155,3373,3086,5649,21865,7659,13191,14050,5884
"2021","Amber Valley","E07000032",126207,121480,92,243,337,396,295,445,1318,428,530,432,211
"2021","Bolsover","E07000033",80273,75662,30,113,184,188,181,292,1156,686,882,644,255
"2021","Chesterfield","E07000034",103569,98498,81,235,384,339,304,491,1332,437,594,562,312
"2021","Derbyshire Dales","E07000035",71541,68848,79,150,297,255,248,287,573,193,210,268,133
"2021","Erewash","E07000036",112906,106972,86,281,507,447,359,522,1644,547,708,613,220
"2021","High Peak","E07000037",90932,87157,71,251,353,366,267,419,976,252,338,348,134
"2021","North East Derbyshire","E07000038",102000,98829,60,182,234,238,237,359,856,249,331,302,123
"2021","South Derbyshire","E07000039",107208,100786,76,233,573,432,427,628,1766,590,830,662,205
"2021","Blaby","E07000129",102926,93029,123,340,1054,1179,631,958,2467,767,1067,989,322
"2021","Charnwood","E07000130",183973,159857,223,590,2258,2680,1663,2184,5411,1616,2435,2811,2245
"2021","Harborough","E07000131",97626,90617,158,291,740,754,521,796,1596,487,640,676,350
"2021","Hinckley and Bosworth","E07000132",113640,106587,120,294,532,527,442,640,1948,644,991,671,244
"2021","Melton","E07000133",51753,48514,108,168,303,225,201,285,922,271,386,271,99
"2021","North West Leicestershire","E07000134",104708,98326,79,198,362,349,343,496,1961,623,930,760,281
"2021","Oadby and Wigston","E07000135",57747,46568,97,316,1570,1779,811,1178,2431,528,897,1019,553
