"date","geography","geography code","Age of arrival in the UK: Total: All usual residents; measures: Value","Age of arrival in the UK: Born in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 15 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 90 years and over; measures: Value"
"2021","Wakefield","E08000036",353373,323296,30077,3894,1265,721,1617,381,947,1900,6024,5192,6171,1631,136,149,44,5,0
"2021","Derby","E06000015",261364,210170,51194,6225,2637,1693,3970,847,2166,3551,9395,7623,10112,2292,253,310,96,18,6
"2021","Leicester","E06000016",368568,217078,151490,13725,7521,5131,12663,2744,6774,10209,27079,21524,31941,9552,1190,1137,265,28,7
"2021","Rutland","E06000017",41050,37658,3392,807,209,132,318,55,113,153,491,429,468,167,21,22,6,0,1
"2021","Nottingham","E06000018",323632,244133,79499,8810,3987,2565,5912,1154,3501,5893,14541,12607,16180,3640,296,300,97,13,3
"2021","North Northamptonshire","E06000061",359523,303952,55571,6424,2326,1420,3171,646,1689,3656,10888,9293,12229,3180,283,270,80,15,1
"2021","West Northamptonshire","E06000062",425729,345735,79994,8900,3379,1998,4652,998,2751,5280,15378,13791,17405,4552,462,341,88,16,3
"2021","Amber Valley","E07000032",126207,121480,4727,937,281,134,305,46,148,280,792,690,855,197,28,26,7,1,0
"2021","Bolsover","E07000033",80272,75662,4610,625,188,113,249,48,126,244,847,748,1017,333,30,31,9,2,0
"2021","Chesterfield","E07000034",103569,98498,5071,816,242,140,294,76,158,263,882,834,1064,231,28,32,8,3,0
"2021","Derbyshire Dales","E07000035",71540,68848,2692,718,151,83,168,44,81,121,376,249,500,152,23,18,7,0,1
"2021","Erewash","E07000036",112905,106972,5933,1092,311,222,379,98,196,343,1027,877,1102,228,25,25,7,1,0
"2021","High Peak","E07000037",90933,87157,3776,837,229,101,210,55,128,207,612,529,663,155,20,23,7,0,0
"2021","North East Derbyshire","E07000038",102001,98829,3172,653,166,92,238,49,122,152,471,408,618,150,22,27,3,1,0
"2021","South Derbyshire","E07000039",107207,100786,6421,1094,336,191,409,91,210,378,1245,1046,1111,234,31,34,10,1,0
"2021","Blaby","E07000129",102927,93029,9898,1373,503,315,805,144,412,707,1943,1545,1637,375,67,57,13,2,0
"2021","Charnwood","E07000130",183971,159857,24114,3315,1289,793,1986,436,1283,2046,4690,3299,3869,837,96,138,34,2,1
"2021","Harborough","E07000131",97625,90617,7008,1294,392,279,555,114,307,360,1106,919,1265,304,37,54,21,1,0
"2021","Hinckley and Bosworth","E07000132",113635,106587,7048,1168,322,222,433,114,258,461,1343,1091,1252,301,32,35,14,2,0
"2021","Melton","E07000133",51753,48514,3239,624,181,96,194,42,105,190,578,447,562,172,17,19,10,2,0
"2021","North West Leicestershire","E07000134",104707,98326,6381,1121,304,146,375,73,190,359,1203,964,1286,299,28,25,7,0,1
"2021","Oadby and Wigston","E07000135",57744,46568,11176,1450,738,477,1088,234,533,790,1864,1502,1941,390,66,81,20,1,1
"2021","Boston","E07000136",70502,53830,16672,1665,680,415,879,156,519,1070,2938,2379,4262,1519,96,75,15,2,2
"2021","East Lindsey","E07000137",142297,136421,5876,1410,329,163,370,74,191,294,910,748,967,330,40,37,9,2,2
"2021","Lincoln","E07000138",103813,88152,15661,2197,732,423,1032,185,558,1038,2854,2398,3155,937,72,61,14,5,0
"2021","North Kesteven","E07000139",118075,110835,7240,2195,383,238,413,73,224,340,1009,878,1132,278,36,28,12,1,0
"2021","South Holland","E07000140",95123,81215,13908,1453,486,318,627,100,405,1091,2983,2141,3058,1078,79,66,19,3,1
"2021","South Kesteven","E07000141",143400,130616,12784,2534,633,354,709,138,333,651,2174,1760,2628,701,72,78,16,1,2
"2021","West Lindsey","E07000142",95153,90468,4685,1176,280,146,321,48,135,203,634,603,855,239,16,22,7,0,0
"2021","Ashfield","E07000170",126300,119087,7213,1019,336,194,450,89,210,449,1359,1235,1452,345,37,30,6,1,1
"2021","Bassetlaw","E07000171",117810,109896,7914,1272,384,184,391,85,202,446,1477,1215,1654,496,55,36,15,2,0
"2021","Broxtowe","E07000172",110937,99589,11348,1696,541,309,707,146,383,730,2034,1937,2317,435,43,50,18,2,0
"2021","Gedling","E07000173",117263,108337,8926,1371,455,291,688,133,368,579,1725,1348,1579,288,41,43,13,4,0
"2021","Mansfield","E07000174",110482,98571,11911,1343,449,266,598,135,363,763,2540,2023,2535,796,48,39,10,2,1
"2021","Newark and Sherwood","E07000175",122959,114028,8931,1499,409,235,467,112,260,582,1693,1358,1762,457,44,38,14,1,0
"2021","Rushcliffe","E07000176",119077,109177,9900,1765,534,300,643,135,373,644,1663,1563,1827,310,56,60,20,5,2
"2021","Herefordshire, County of","E06000019",187035,170958,16077,2607,730,385,841,126,385,866,2949,2570,3437,952,100,92,33,3,1
"2021","Telford and Wrekin","E06000020",185542,164432,21110,3039,1101,598,1300,312,634,1217,3749,3256,4525,1157,88,103,24,4,3
"2021","Stoke-on-Trent","E06000021",258367,224531,33836,3932,1647,1012,2181,500,1170,2116,6151,6006,7233,1567,154,126,34,3,4
"2021","Shropshire","E06000051",323606,304471,19135,3767,909,510,1255,281,740,914,2786,2645,3833,1177,122,133,48,5,10
"2021","Cannock Chase","E07000192",100520,96919,3601,667,138,104,248,54,121,229,679,499,676,149,14,17,5,1,0
