"date","geography","geography code","Age of arrival in the UK: Total: All usual residents; measures: Value","Age of arrival in the UK: Born in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 15 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 90 years and over; measures: Value"
"2021","Ceredigion","W06000008",71474,66430,5044,799,247,126,299,44,201,746,839,608,846,244,18,22,2,3,0
"2021","Pembrokeshire","W06000009",123359,117408,5951,1404,352,228,365,75,191,259,766,738,1187,294,46,37,7,2,0
"2021","Carmarthenshire","W06000010",187899,178385,9514,1685,464,290,574,102,261,457,1348,1385,2127,671,74,55,17,2,2
"2021","Swansea","W06000011",238490,216019,22471,3145,1178,674,1456,324,874,1625,3690,3373,4769,1081,113,117,45,6,1
"2021","Neath Port Talbot","W06000012",142290,137115,5175,1003,275,184,352,65,263,385,779,707,887,215,35,19,4,0,2
"2021","Bridgend","W06000013",145488,139225,6263,1328,316,183,362,73,178,291,942,967,1260,286,32,35,10,0,0
"2021","Vale of Glamorgan","W06000014",131940,124315,7625,1666,410,240,500,110,370,339,1083,1079,1417,313,34,47,15,2,0
"2021","Cardiff","W06000015",362307,302460,59847,7579,2939,1710,3780,906,2720,4322,11286,9959,11777,2209,246,301,95,8,10
"2021","Rhondda Cynon Taff","W06000016",237652,228753,8899,1520,453,251,597,102,276,616,1722,1327,1636,310,30,43,13,3,0
"2021","Merthyr Tydfil","W06000024",58841,55553,3288,438,134,91,169,31,79,141,581,526,858,195,20,17,8,0,0
"2021","Caerphilly","W06000018",175951,170772,5179,1159,229,121,318,75,134,279,888,763,927,222,32,27,5,0,0
"2021","Blaenau Gwent","W06000019",66906,64757,2149,324,89,55,123,23,65,114,386,356,468,118,16,7,3,2,0
"2021","Torfaen","W06000020",92276,88990,3286,613,169,98,239,49,134,181,519,443,628,167,20,19,5,0,2
"2021","Monmouthshire","W06000021",92957,87843,5114,1166,263,151,323,61,151,232,774,696,941,270,32,40,12,1,1
"2021","Newport","W06000022",159592,140174,19418,2487,924,571,1304,268,640,1110,3775,3280,4086,777,82,86,26,2,0
