date,geography,geography code,Year of arrival in the UK: Total: All usual residents; measures: Value,Year of arrival in the UK: Born in the UK; measures: Value,Year of arrival in the UK: Arrived before 1951; measures: Value,Year of arrival in the UK: Arrived 1951 to 1960; measures: Value,Year of arrival in the UK: Arrived 1961 to 1970; measures: Value,Year of arrival in the UK: Arrived 1971 to 1980; measures: Value,Year of arrival in the UK: Arrived 1981 to 1990; measures: Value,Year of arrival in the UK: Arrived 1991 to 2000; measures: Value,Year of arrival in the UK: Arrived 2001 to 2010; measures: Value,Year of arrival in the UK: Arrived 2011 to 2013; measures: Value,Year of arrival in the UK: Arrived 2014 to 2016; measures: Value,Year of arrival in the UK: Arrived 2017 to 2019; measures: Value,Year of arrival in the UK: Arrived 2020 to 2021; measures: Value
2021,Salford 006,E02001162,5821,5138,6,11,18,27,19,38,168,104,133,122,37
2021,Salford 007,E02001163,9919,9166,7,15,29,41,24,50,252,74,110,110,41
2021,Salford 008,E02001164,7673,6538,1,15,22,22,39,84,382,173,218,109,70
2021,Salford 009,E02001165,6174,5508,7,8,11,13,11,36,253,85,110,96,36
2021,Salford 010,E02001166,8247,6048,30,41,92,70,138,224,581,164,327,384,148
2021,Salford 011,E02001167,6965,5109,16,22,31,41,58,106,605,202,359,287,129
2021,Salford 012,E02001168,9894,8667,10,34,35,40,35,82,407,118,206,174,86
2021,Salford 013,E02001169,10904,9997,7,34,59,73,55,106,287,79,76,99,32
2021,Salford 014,E02001170,9850,9280,9,32,52,55,36,89,115,63,49,26,44
2021,Salford 015,E02001171,6164,5661,6,21,31,15,24,38,142,44,61,81,40
2021,Salford 017,E02001173,9503,7170,6,11,36,13,28,102,691,298,386,499,263
2021,Salford 018,E02001174,5724,5027,9,29,33,29,26,36,177,52,113,140,53
2021,Salford 019,E02001175,7498,6560,10,24,32,21,40,44,360,133,106,104,64
2021,Salford 020,E02001176,11750,9994,10,57,80,85,108,158,462,155,257,270,114
2021,Salford 021,E02001177,13346,10448,7,31,51,37,40,127,798,330,500,635,342
2021,Salford 023,E02001179,7016,5211,1,25,25,23,38,92,404,242,337,398,220
2021,Salford 024,E02001180,5685,3827,2,19,28,13,31,74,490,234,371,421,175
2021,Salford 025,E02001181,5976,4832,12,19,16,17,25,56,438,149,199,152,61
2021,Salford 026,E02001182,7353,5782,3,23,30,24,35,109,497,177,308,298,67
