date,geography,geography code,Household deprivation: Total: All households; measures: Value,Household deprivation: Household is not deprived in any dimension; measures: Value,Household deprivation: Household is deprived in one dimension; measures: Value,Household deprivation: Household is deprived in two dimensions; measures: Value,Household deprivation: Household is deprived in three dimensions; measures: Value,Household deprivation: Household is deprived in four dimensions; measures: Value
2021,Stockport 031,E02001217,3136,1561,1045,412,104,14
2021,Stockport 032,E02001218,2359,1369,749,200,39,2
2021,Stockport 033,E02001219,2221,1304,690,207,20,0
2021,Stockport 034,E02001220,2319,1294,697,260,63,5
2021,Stockport 035,E02001221,2386,1396,747,214,29,0
2021,Stockport 036,E02001222,2417,1225,856,305,30,1
2021,Stockport 037,E02001223,2799,1706,865,203,25,0
2021,Stockport 038,E02001224,2547,1367,880,268,30,2
2021,Stockport 039,E02001225,3028,1778,937,264,46,3
2021,Stockport 040,E02001226,2788,1447,940,312,84,5
2021,Stockport 041,E02001227,2333,1477,674,163,19,0
2021,Stockport 042,E02001228,2519,1596,715,185,21,2
2021,Tameside 001,E02001229,4669,2458,1465,613,128,5
2021,Tameside 002,E02001230,2344,1102,835,334,71,2
2021,Tameside 003,E02001231,2862,1379,919,425,128,11
2021,Tameside 004,E02001232,3612,1426,1261,673,233,19
2021,Tameside 005,E02001233,3375,1225,1192,729,211,18
2021,Tameside 006,E02001234,3261,1209,1123,682,229,18
2021,Tameside 007,E02001235,3058,1412,991,491,149,15
2021,Tameside 008,E02001236,2623,955,933,520,200,15
2021,Tameside 009,E02001237,3089,1465,962,482,171,9
2021,Tameside 010,E02001238,3539,1545,1237,597,153,7
2021,Tameside 011,E02001239,3990,1671,1376,726,203,14
2021,Tameside 012,E02001240,2631,1136,920,472,97,6
2021,Tameside 013,E02001241,4716,1414,1641,1123,498,40
2021,Tameside 014,E02001242,2886,1550,901,369,65,1
2021,Tameside 015,E02001243,3828,1911,1246,521,142,8
2021,Tameside 016,E02001244,2303,1148,832,262,59,2
2021,Tameside 017,E02001245,3621,1456,1272,686,193,14
2021,Tameside 018,E02001246,3180,1217,1072,646,231,14
2021,Tameside 019,E02001247,3275,1387,1116,597,167,8
2021,Tameside 020,E02001248,5218,2243,1700,934,330,11
2021,Tameside 021,E02001249,2921,1220,1054,513,131,3
2021,Tameside 022,E02001250,2737,1373,952,339,70,3
2021,Tameside 023,E02001251,2836,1393,973,386,81,3
2021,Tameside 024,E02001252,3278,1632,1136,448,60,2
2021,Tameside 025,E02001253,2258,992,831,346,89,0
2021,Tameside 026,E02001254,2491,1035,927,409,113,7
2021,Tameside 027,E02001255,3232,1164,1073,709,271,15
2021,Tameside 028,E02001256,4172,1472,1484,868,330,18
2021,Tameside 029,E02001257,4284,1679,1553,779,257,16
2021,Tameside 030,E02001258,3232,1708,1060,378,84,2
2021,Trafford 001,E02001259,4764,2022,1555,877,299,11
2021,Trafford 002,E02001260,3074,1614,1016,371,71,2
2021,Trafford 003,E02001261,3665,1819,1182,488,171,5
2021,Trafford 004,E02001262,3083,1344,1039,552,142,6
2021,Trafford 005,E02001263,3410,1876,1139,340,54,1
2021,Trafford 006,E02001264,3301,1746,1021,433,96,5
2021,Trafford 007,E02001265,3388,1657,1124,495,105,7
2021,Trafford 008,E02001266,3092,1324,1083,527,150,8
2021,Trafford 009,E02001267,3389,1595,1105,511,166,12
2021,Trafford 010,E02001268,2957,1622,942,336,57,0
2021,Trafford 011,E02001269,3576,1785,1124,521,139,7
2021,Trafford 012,E02001270,3651,2169,1005,379,95,3
2021,Trafford 013,E02001271,2786,1386,858,422,118,2
2021,Trafford 014,E02001272,3368,2030,981,290,63,4
2021,Trafford 015,E02001273,4349,2574,1306,394,70,5
2021,Trafford 016,E02001274,3146,1829,1003,275,39,0
2021,Trafford 017,E02001275,3346,1207,1163,710,258,8
2021,Trafford 018,E02001276,3245,1626,981,479,143,16
2021,Trafford 019,E02001277,3802,1805,1246,555,192,4
2021,Trafford 020,E02001278,3361,2103,942,253,62,1
2021,Trafford 021,E02001279,3166,2013,886,246,21,0
2021,Trafford 022,E02001280,3513,1622,1181,565,140,5
2021,Trafford 023,E02001281,3074,1839,943,260,30,2
2021,Trafford 024,E02001282,4224,2626,1169,378,48,3
2021,Trafford 025,E02001283,4092,2532,1150,337,64,9
2021,Trafford 026,E02001284,3121,2174,749,174,24,0
2021,Trafford 027,E02001285,3259,2057,914,249,38,1
2021,Trafford 028,E02001286,3061,1885,894,249,30,3
2021,Wigan 001,E02001287,2799,1647,825,286,38,3
2021,Wigan 002,E02001288,3618,2009,1103,423,82,1
2021,Wigan 003,E02001289,4448,2315,1488,557,86,2
2021,Wigan 004,E02001290,2688,1358,851,388,86,5
2021,Wigan 005,E02001291,3332,1420,1133,633,137,9
2021,Wigan 006,E02001292,3685,2046,1111,422,106,0
2021,Wigan 007,E02001293,2674,1334,856,407,73,4
2021,Wigan 008,E02001294,3681,1839,1180,514,143,5
2021,Wigan 009,E02001295,3543,1101,1181,896,347,18
2021,Wigan 010,E02001296,3602,1017,1278,924,370,13
2021,Wigan 011,E02001297,2926,1166,1013,545,195,7
2021,Wigan 012,E02001298,3363,1198,1194,712,247,12
2021,Wigan 013,E02001299,3878,1806,1249,625,186,12
2021,Wigan 014,E02001300,3506,1492,1223,608,179,4
