date,geography,geography code,Age of arrival in the UK: Total: All usual residents; measures: Value,Age of arrival in the UK: Born in the UK; measures: Value,Age of arrival in the UK: Arrived in the UK; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 15 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 90 years and over; measures: Value
2021,Bolton 006A,E01004784,1194,1166,28,7,0,0,2,0,1,4,3,5,5,1,0,0,0,0,0
2021,Bolton 006B,E01004785,1521,1449,72,10,0,3,6,2,1,6,9,10,19,6,0,0,0,0,0
2021,Bolton 006C,E01004786,1449,1402,47,10,1,2,4,0,1,4,11,5,5,4,0,0,0,0,0
2021,Bolton 006D,E01004789,1453,1429,24,5,1,1,0,0,2,3,3,3,4,2,0,0,0,0,0
2021,Bolton 006E,E01004791,1321,1290,31,7,1,4,4,0,1,3,3,3,3,1,1,0,0,0,0
2021,Bolton 006F,E01004792,1409,1365,44,15,1,1,2,0,1,3,6,7,6,2,0,0,0,0,0
2021,Bolton 007A,E01004779,1631,1552,79,18,2,3,5,0,6,3,15,10,10,4,1,1,1,0,0
2021,Bolton 007B,E01004781,2136,1878,258,36,13,7,23,8,5,12,34,47,52,15,3,3,0,0,0
2021,Bolton 007C,E01004882,1346,1292,54,16,2,2,5,1,2,7,4,9,2,1,2,1,0,0,0
2021,Bolton 007D,E01004883,1758,1653,105,20,6,7,4,0,1,8,8,11,35,1,3,1,0,0,0
2021,Bolton 007E,E01004884,1479,1426,53,8,5,4,2,0,1,3,8,4,11,5,1,1,0,0,0
2021,Bolton 008A,E01004864,1463,1314,149,22,8,5,18,2,6,9,20,18,28,13,0,0,0,0,0
2021,Bolton 008B,E01004867,1550,1128,422,40,17,16,31,7,24,37,84,66,75,22,1,1,1,0,0
2021,Bolton 008C,E01004921,1634,1472,162,24,15,10,14,3,6,8,23,11,32,11,3,2,0,0,0
2021,Bolton 008D,E01004924,1575,1483,92,28,6,5,2,1,4,4,14,13,11,3,1,0,0,0,0
2021,Bolton 008E,E01004925,1589,1427,162,26,10,7,16,2,8,14,25,17,25,7,1,4,0,0,0
2021,Bolton 009A,E01004778,1190,1163,27,5,3,0,2,0,0,4,3,2,7,1,0,0,0,0,0
2021,Bolton 009B,E01004780,2289,2196,93,12,3,4,4,1,5,7,16,18,19,3,0,0,1,0,0
2021,Bolton 009C,E01004782,1349,1318,31,4,0,0,1,0,2,2,8,4,9,1,0,0,0,0,0
2021,Bolton 009D,E01004783,1474,1441,33,5,3,2,1,0,2,3,6,4,7,0,0,0,0,0,0
2021,Bolton 010A,E01004802,1972,1627,345,47,27,10,24,3,8,20,54,44,89,16,3,0,0,0,0
2021,Bolton 010B,E01004926,1432,1255,177,25,12,10,17,4,0,15,29,24,29,10,2,0,0,0,0
2021,Bolton 010C,E01004927,2302,1950,352,37,29,19,25,3,13,18,49,62,78,17,2,0,0,0,0
2021,Bolton 010D,E01004929,2727,2344,383,43,17,12,38,2,14,15,80,65,72,21,2,2,0,0,0
2021,Bolton 011A,E01004820,1789,1074,715,92,50,40,61,18,31,44,89,100,144,41,1,3,1,0,0
2021,Bolton 011B,E01004825,1971,1190,781,68,34,18,72,13,57,70,171,121,116,34,3,4,0,0,0
2021,Bolton 011C,E01004826,1667,1023,644,78,41,25,55,8,33,42,112,91,119,35,2,3,0,0,0
2021,Bolton 011D,E01004865,1580,1267,313,43,17,13,27,5,14,19,67,39,50,13,3,2,1,0,0
2021,Bolton 011E,E01004866,2039,1365,674,85,41,28,52,12,19,31,135,98,136,30,4,3,0,0,0
2021,Bolton 012A,E01004840,1736,1590,146,20,8,7,13,2,3,10,9,31,33,9,0,1,0,0,0
2021,Bolton 012B,E01004841,1746,1509,237,41,11,11,25,4,7,8,27,22,57,23,0,1,0,0,0
2021,Bolton 012C,E01004842,1708,1602,106,15,10,2,10,0,3,3,27,17,15,4,0,0,0,0,0
2021,Bolton 012D,E01004919,1510,1395,115,22,8,6,8,1,1,6,20,21,17,4,1,0,0,0,0
2021,Bolton 012E,E01004920,1641,1496,145,23,9,9,11,3,3,14,14,28,24,3,1,3,0,0,0
2021,Bolton 013A,E01004787,1707,1544,163,15,12,10,10,2,7,11,18,22,47,6,0,3,0,0,0
2021,Bolton 013B,E01004793,1748,1559,189,35,15,4,11,0,3,13,32,30,36,10,0,0,0,0,0
2021,Bolton 013C,E01004794,2121,1840,281,37,20,15,24,11,13,14,34,32,61,14,2,2,2,0,0
2021,Bolton 013D,E01004795,1504,1414,90,8,3,1,11,3,4,5,15,11,22,5,0,2,0,0,0
2021,Bolton 013E,E01004797,1491,1242,249,38,21,7,24,5,7,5,32,33,65,8,1,3,0,0,0
2021,Bolton 014A,E01004775,2327,2144,183,23,10,9,7,0,7,13,37,34,37,5,0,1,0,0,0
2021,Bolton 014B,E01004885,1423,1309,114,21,1,6,7,4,5,8,22,15,17,8,0,0,0,0,0
2021,Bolton 014C,E01004886,1396,1299,97,14,8,6,4,1,5,13,14,11,10,11,0,0,0,0,0
2021,Bolton 014D,E01004887,1333,1238,95,15,7,0,6,1,3,7,12,20,17,6,1,0,0,0,0
2021,Bolton 015A,E01004868,2164,1349,815,95,60,31,94,18,37,45,126,94,153,48,3,9,2,0,0
2021,Bolton 015B,E01004869,2184,1307,877,151,49,28,72,5,57,50,101,118,195,45,1,3,2,0,0
2021,Bolton 015C,E01004870,2015,1269,746,60,54,21,52,15,48,64,148,96,128,48,6,3,3,0,0
2021,Bolton 015D,E01004871,1811,930,881,99,51,48,100,22,39,57,130,108,159,54,7,4,3,0,0
2021,Bolton 015E,E01004922,2252,1613,639,94,32,14,57,11,27,39,94,87,139,39,0,6,0,0,0
2021,Bolton 016B,E01004822,1854,1098,756,92,50,28,73,17,42,47,137,87,125,45,5,5,2,0,1
2021,Bolton 016C,E01004823,2053,1364,689,94,40,20,53,18,27,49,98,109,136,36,5,3,1,0,0
2021,Bolton 016D,E01004848,2091,1393,698,80,40,19,59,17,29,46,114,111,138,34,4,5,1,1,0
2021,Bolton 016E,E01033217,1226,770,456,25,14,11,25,17,32,40,82,88,90,29,0,3,0,0,0
2021,Bolton 016F,E01033220,1316,862,454,47,22,16,36,6,27,24,76,66,101,23,4,5,1,0,0
2021,Bolton 017A,E01004818,1723,1096,627,58,25,12,68,11,29,40,95,93,157,32,2,4,1,0,0
2021,Bolton 017B,E01004819,1518,1203,315,24,14,10,29,4,12,36,63,50,52,16,0,3,1,1,0
2021,Bolton 017C,E01004928,1378,1224,154,21,6,7,17,2,2,7,24,18,36,11,1,2,0,0,0
2021,Bolton 017D,E01004930,1514,1424,90,22,6,2,10,2,1,6,14,7,11,4,2,3,0,0,0
2021,Bolton 017E,E01004931,1563,1445,118,11,5,6,12,1,2,4,18,19,25,11,1,2,0,1,0
2021,Bolton 017F,E01004932,1483,1304,179,26,7,7,12,3,8,4,26,30,43,8,1,2,1,1,0
2021,Bolton 018A,E01004834,1745,1169,576,78,35,26,55,15,24,34,105,76,102,22,1,1,1,0,1
2021,Bolton 018B,E01004838,2010,1259,751,108,53,67,77,13,26,40,75,80,139,53,5,9,6,0,0
2021,Bolton 018C,E01004843,1559,1387,172,29,6,8,9,6,4,9,30,29,30,8,2,1,1,0,0
2021,Bolton 018D,E01004845,1872,1493,379,49,24,13,43,3,16,21,60,61,66,15,2,4,2,0,0
2021,Bolton 018E,E01004923,1676,1327,349,46,21,11,37,13,21,13,61,36,61,18,5,4,2,0,0
2021,Bolton 019A,E01004796,1576,1442,134,18,13,3,12,1,3,3,24,17,33,6,1,0,0,0,0
2021,Bolton 019B,E01004798,1615,1483,132,18,5,6,18,0,4,6,24,17,26,4,1,3,0,0,0
2021,Bolton 019C,E01004799,1272,1185,87,12,8,3,4,4,3,9,16,14,13,1,0,0,0,0,0
2021,Bolton 019D,E01004800,1296,1232,64,8,2,3,7,2,4,7,9,10,11,1,0,0,0,0,0
2021,Bolton 019E,E01004801,1672,1521,151,18,7,8,9,2,5,9,27,19,35,8,0,3,1,0,0
2021,Bolton 019F,E01004917,2294,2141,153,28,9,1,11,1,6,9,14,27,37,7,2,0,0,1,0
2021,Bolton 020A,E01004835,1463,1152,311,35,14,13,34,8,16,28,67,41,38,12,1,2,1,1,0
2021,Bolton 020B,E01004836,1745,1363,382,59,17,19,38,5,25,25,64,41,68,15,3,2,1,0,0
2021,Bolton 020C,E01004837,1564,1254,310,44,22,19,23,6,16,20,52,44,52,7,2,0,3,0,0
2021,Bolton 020D,E01004844,1573,1338,235,25,8,9,21,3,15,20,37,47,37,7,3,1,1,1,0
2021,Bolton 020E,E01004897,1016,922,94,10,8,1,7,0,7,6,20,13,18,1,1,1,1,0,0
2021,Bolton 021A,E01004827,1986,1097,889,117,63,30,100,30,35,46,111,114,179,55,2,7,0,0,0
2021,Bolton 021B,E01004849,1792,871,921,107,68,41,102,13,47,69,131,115,166,49,7,5,1,0,0
2021,Bolton 021C,E01004850,2292,1261,1031,102,63,37,114,16,40,66,196,112,219,58,3,4,1,0,0
2021,Bolton 021D,E01004851,1689,837,852,80,50,26,91,26,44,66,143,98,176,40,5,6,1,0,0
2021,Bolton 021E,E01004853,1573,862,711,91,43,29,68,19,36,45,117,68,136,48,7,3,1,0,0
2021,Bolton 022A,E01004811,1845,1049,796,75,62,44,80,13,26,47,125,101,150,58,2,11,2,0,0
2021,Bolton 022B,E01004812,2404,1285,1119,126,70,38,88,22,49,63,223,138,183,97,13,8,1,0,0
2021,Bolton 022C,E01004813,1746,1141,605,82,25,21,68,15,29,33,107,68,109,32,4,6,5,1,0
2021,Bolton 022D,E01004815,1790,1149,641,72,43,29,59,11,33,55,101,88,119,22,5,4,0,0,0
2021,Bolton 022E,E01004817,2065,1420,645,57,14,22,55,11,36,71,137,90,106,37,5,4,0,0,0
2021,Bolton 023A,E01004828,2016,1055,961,147,87,52,69,20,27,38,154,135,183,40,2,4,3,0,0
2021,Bolton 023B,E01004829,1460,747,713,68,50,26,60,12,37,60,126,97,131,36,6,3,1,0,0
2021,Bolton 023C,E01004832,1641,1272,369,40,15,14,35,6,19,30,69,54,67,15,1,4,0,0,0
2021,Bolton 023D,E01004854,1657,849,808,84,39,27,74,15,45,66,154,118,141,36,2,6,1,0,0
2021,Bolton 023E,E01004878,1696,1125,571,69,38,20,54,13,27,50,96,63,104,25,4,6,2,0,0
2021,Bolton 024A,E01004911,1533,1466,67,19,7,1,4,6,2,2,4,10,12,0,0,0,0,0,0
2021,Bolton 024B,E01004912,1434,1370,64,5,5,3,6,1,4,7,13,5,13,0,0,1,0,1,0
2021,Bolton 024C,E01004913,1957,1866,91,18,6,2,12,1,4,3,14,12,15,3,1,0,0,0,0
2021,Bolton 024D,E01004914,1169,1134,35,10,2,2,1,1,3,5,6,2,3,0,0,0,0,0,0
2021,Bolton 024E,E01004915,1275,1221,54,12,4,3,5,0,2,4,8,5,6,4,1,0,0,0,0
2021,Bolton 024F,E01004916,1469,1394,75,16,5,5,4,0,5,3,14,5,17,0,0,1,0,0,0
2021,Bolton 024G,E01004918,1225,1180,45,5,4,2,4,3,4,6,5,2,7,3,0,0,0,0,0
2021,Bolton 025A,E01004846,1411,818,593,91,48,15,41,11,16,35,97,97,105,28,4,5,0,0,0
2021,Bolton 025B,E01004847,2281,1330,951,129,62,46,67,17,34,54,169,121,192,48,3,8,1,0,0
2021,Bolton 025C,E01004852,1730,997,733,68,38,27,63,22,45,56,161,90,119,36,3,4,1,0,0
2021,Bolton 025D,E01004877,2076,1289,787,143,71,20,48,15,24,53,113,126,146,21,4,3,0,0,0
2021,Bolton 025E,E01004879,1659,1085,574,75,36,23,59,8,18,40,100,86,95,25,3,3,3,0,0
2021,Bolton 026A,E01004830,1754,1226,528,73,40,18,37,10,19,31,85,71,106,26,11,1,0,0,0
2021,Bolton 026B,E01004831,1827,1401,426,53,29,18,40,5,31,25,81,53,74,13,3,1,0,0,0
2021,Bolton 026C,E01004833,1529,1348,181,17,16,3,17,3,10,12,37,30,27,6,1,2,0,0,0
2021,Bolton 026D,E01004839,2373,1836,537,72,31,12,46,10,13,20,99,99,102,26,3,3,1,0,0
2021,Bolton 027A,E01004814,1603,1217,386,47,27,17,31,7,15,38,80,36,66,12,3,4,3,0,0
2021,Bolton 027B,E01004855,1485,1305,180,24,10,4,16,4,11,7,32,23,33,14,2,0,0,0,0
2021,Bolton 027C,E01004856,1536,1189,347,35,18,9,29,4,16,14,66,63,73,16,1,2,1,0,0
2021,Bolton 027D,E01004857,1903,1469,434,53,25,19,40,7,24,29,80,61,70,20,4,2,0,0,0
2021,Bolton 028A,E01004891,1538,1476,62,3,3,0,7,1,4,6,8,10,12,6,2,0,0,0,0
2021,Bolton 028B,E01004893,1523,1450,73,15,1,4,8,3,3,4,13,9,10,2,1,0,0,0,0
2021,Bolton 028C,E01004894,1924,1826,98,10,4,3,10,3,4,8,19,13,17,6,1,0,0,0,0
2021,Bolton 028E,E01004901,1762,1692,70,13,3,0,0,2,3,6,11,11,15,6,0,0,0,0,0
2021,Bolton 028F,E01033218,1574,1491,83,15,9,0,5,3,1,3,20,8,16,3,0,0,0,0,0
2021,Bolton 028G,E01033219,1420,1336,84,11,5,10,8,0,2,2,15,11,14,6,0,0,0,0,0
2021,Bolton 029A,E01004816,2935,1921,1014,92,62,52,91,20,40,69,170,151,184,64,2,12,5,0,0
2021,Bolton 029B,E01004872,1693,1364,329,52,18,14,32,4,5,17,36,52,77,21,0,0,1,0,0
2021,Bolton 029C,E01004873,2025,1495,530,64,40,19,39,8,14,23,69,65,150,28,6,1,4,0,0
2021,Bolton 029D,E01004875,1669,1483,186,23,13,5,10,4,9,11,30,30,40,9,1,0,1,0,0
2021,Bolton 029E,E01004880,1480,1093,387,64,23,13,36,4,16,23,59,44,81,17,3,2,1,1,0
2021,Bolton 030A,E01004892,1579,1513,66,15,1,1,6,0,4,1,12,10,9,6,1,0,0,0,0
2021,Bolton 030B,E01004896,1315,1272,43,6,2,2,5,1,4,3,7,6,5,2,0,0,0,0,0
2021,Bolton 030C,E01004899,1599,1333,266,37,13,10,28,3,8,14,50,38,54,4,2,2,3,0,0
2021,Bolton 030D,E01004900,1615,1312,303,36,15,11,20,6,12,35,67,45,41,13,0,2,0,0,0
2021,Bolton 031A,E01004776,1821,1735,86,6,5,4,7,3,0,8,18,12,20,3,0,0,0,0,0
2021,Bolton 031B,E01004895,1327,1277,50,6,2,4,4,2,1,3,6,9,9,4,0,0,0,0,0
2021,Bolton 031C,E01004936,2168,2063,105,17,0,2,4,0,2,16,25,15,15,7,1,1,0,0,0
2021,Bolton 031D,E01004938,1549,1451,98,31,5,5,1,0,1,2,18,11,17,4,0,3,0,0,0
2021,Bolton 031E,E01004939,1599,1538,61,6,1,2,6,0,3,4,17,8,13,1,0,0,0,0,0
2021,Bolton 032A,E01004858,1585,1417,168,22,10,5,14,5,6,13,23,33,32,3,0,1,0,0,1
2021,Bolton 032B,E01004859,1505,1336,169,17,12,5,25,1,9,11,20,25,32,9,3,0,0,0,0
2021,Bolton 032C,E01004860,1469,1363,106,17,7,1,6,1,5,5,10,23,25,2,2,1,1,0,0
2021,Bolton 032D,E01004902,1847,1633,214,30,8,8,12,3,5,14,37,37,50,8,0,2,0,0,0
2021,Bolton 032E,E01004906,1795,1627,168,20,3,4,17,3,5,10,27,33,35,10,1,0,0,0,0
2021,Bolton 033A,E01004861,1961,1653,308,47,17,6,20,3,7,15,50,47,83,10,2,1,0,0,0
2021,Bolton 033B,E01004862,1434,1285,149,22,15,10,13,2,6,9,17,21,28,6,0,0,0,0,0
2021,Bolton 033C,E01004863,1585,1402,183,31,14,8,10,2,5,7,37,29,28,10,1,1,0,0,0
2021,Bolton 033D,E01004874,1753,1562,191,29,6,6,9,3,4,8,23,29,61,12,0,1,0,0,0
2021,Bolton 033E,E01004876,1966,1645,321,85,19,2,14,2,2,9,36,34,110,8,0,0,0,0,0
2021,Bolton 034A,E01004903,1445,1399,46,7,1,1,2,0,1,1,10,11,11,0,1,0,0,0,0
2021,Bolton 034B,E01004904,1678,1587,91,10,3,2,12,3,3,5,16,18,15,2,1,0,1,0,0
2021,Bolton 034C,E01004905,1597,1474,123,13,7,4,6,6,7,11,22,14,25,5,0,3,0,0,0
2021,Bolton 034D,E01004907,1312,1233,79,15,7,3,8,1,3,3,7,14,15,3,0,0,0,0,0
2021,Bolton 034E,E01004908,1298,1249,49,9,3,2,4,0,3,1,5,12,9,1,0,0,0,0,0
2021,Bolton 034F,E01004909,1399,1327,72,15,1,2,2,2,1,4,15,10,18,1,0,1,0,0,0
2021,Bolton 034G,E01004910,2052,1945,107,21,8,0,11,1,4,7,21,13,19,1,1,0,0,0,0
2021,Bolton 035A,E01004933,1314,1264,50,7,2,1,4,2,5,4,6,8,9,2,0,0,0,0,0
2021,Bolton 035B,E01004934,1440,1355,85,16,5,6,4,1,2,6,16,14,14,1,0,0,0,0,0
2021,Bolton 035C,E01004935,1839,1752,87,21,4,5,2,3,6,4,11,10,18,2,1,0,0,0,0
2021,Bolton 035D,E01004937,1637,1583,54,13,2,1,7,0,1,2,7,10,8,0,0,2,1,0,0
2021,Bolton 035E,E01004940,1433,1357,76,15,1,0,6,1,3,5,18,10,14,1,0,2,0,0,0
2021,Bury 001A,E01005014,1467,1404,63,10,3,1,4,1,3,2,11,14,9,4,1,0,0,0,0
2021,Bury 001B,E01005015,1493,1425,68,7,8,1,4,2,4,8,4,9,17,4,0,0,0,0,0
2021,Bury 001C,E01005016,1493,1423,70,12,3,1,4,1,2,4,14,14,13,2,0,0,0,0,0
2021,Bury 001D,E01005017,1835,1752,83,20,1,1,7,2,1,6,14,15,13,2,1,0,0,0,0
2021,Bury 001E,E01005018,1531,1475,56,6,6,0,3,4,0,2,12,10,12,1,0,0,0,0,0
2021,Bury 001F,E01005021,1218,1169,49,17,4,4,3,0,3,4,7,2,4,1,0,0,0,0,0
2021,Bury 002A,E01005019,1502,1449,53,7,3,2,5,0,2,3,12,7,7,4,1,0,0,0,0
2021,Bury 002B,E01005023,1278,1227,51,18,3,0,5,0,1,2,12,3,5,1,1,0,0,0,0
2021,Bury 002C,E01005046,1484,1433,51,6,4,3,1,0,3,6,13,4,6,5,0,0,0,0,0
2021,Bury 002D,E01005048,1654,1602,52,19,2,3,5,1,2,2,6,5,5,2,0,0,0,0,0
2021,Bury 003A,E01005020,1362,1326,36,8,3,1,5,0,0,1,4,7,4,1,2,0,0,0,0
2021,Bury 003B,E01005022,1497,1451,46,13,3,0,4,2,3,1,4,7,6,3,0,0,0,0,0
2021,Bury 003C,E01005047,1476,1443,33,10,2,2,3,0,2,4,2,4,2,2,0,0,0,0,0
2021,Bury 003D,E01005049,1647,1580,67,20,3,3,0,1,3,1,7,6,13,8,1,1,0,0,0
2021,Bury 003E,E01005051,1524,1460,64,12,2,4,0,0,0,7,11,15,10,3,0,0,0,0,0
2021,Bury 004A,E01004976,1543,1348,195,25,13,6,10,2,6,7,42,41,36,6,0,1,0,0,0
2021,Bury 004B,E01004977,1708,1574,134,19,11,4,12,6,6,7,19,12,31,7,0,0,0,0,0
2021,Bury 004C,E01004978,1856,1515,341,39,20,15,31,2,16,26,51,49,63,25,1,3,0,0,0
2021,Bury 004D,E01004981,1472,1410,62,11,3,2,3,2,4,3,10,5,13,2,1,3,0,0,0
2021,Bury 004E,E01004982,1490,1407,83,16,6,3,7,0,4,7,13,11,11,5,0,0,0,0,0
2021,Bury 005A,E01004961,1450,1364,86,13,4,1,7,0,4,10,12,11,21,3,0,0,0,0,0
2021,Bury 005B,E01004965,1236,1168,68,16,6,1,6,3,3,6,13,11,2,1,0,0,0,0,0
2021,Bury 005C,E01004966,1815,1610,205,25,16,6,16,0,9,19,25,24,54,8,0,2,1,0,0
2021,Bury 005D,E01004967,1193,1073,120,22,6,3,9,4,6,10,36,12,7,3,1,1,0,0,0
2021,Bury 006A,E01004963,1477,1393,84,13,1,2,7,3,2,12,13,10,14,5,1,1,0,0,0
2021,Bury 006B,E01004968,1487,1427,60,15,2,2,4,0,2,2,22,1,6,3,0,0,1,0,0
2021,Bury 006C,E01005050,2121,2040,81,10,3,1,7,2,2,6,21,12,13,4,0,0,0,0,0
2021,Bury 006D,E01005052,1444,1402,42,10,5,3,1,3,2,3,6,0,6,2,0,1,0,0,0
2021,Bury 006E,E01005053,1526,1471,55,9,6,4,3,1,0,3,11,3,13,2,0,0,0,0,0
2021,Bury 007A,E01004954,1447,1280,167,32,9,4,10,5,8,5,21,18,49,4,2,0,0,0,0
2021,Bury 007B,E01004955,1357,1187,170,20,15,3,10,4,4,7,21,24,52,6,2,1,1,0,0
2021,Bury 007C,E01004956,1776,1525,251,32,11,8,22,6,13,13,45,33,45,14,3,6,0,0,0
2021,Bury 007D,E01004957,1901,1469,432,59,24,14,38,6,13,16,69,66,95,24,3,4,1,0,0
2021,Bury 007E,E01004960,1669,1275,394,62,26,12,25,8,8,17,42,62,99,27,4,2,0,0,0
2021,Bury 008A,E01004958,1507,1193,314,41,29,11,18,2,9,21,61,48,55,14,0,5,0,0,0
2021,Bury 008B,E01004959,1734,1346,388,44,16,18,33,1,12,23,72,50,95,20,4,0,0,0,0
2021,Bury 008C,E01004979,1811,1256,555,73,34,25,53,7,22,29,81,77,106,34,4,8,2,0,0
2021,Bury 008D,E01004980,1456,1123,333,31,12,13,19,9,14,18,78,54,55,23,4,2,0,0,1
2021,Bury 008E,E01005024,2647,1484,1163,137,62,43,88,19,34,66,185,168,262,77,10,8,4,0,0
2021,Bury 008F,E01005026,2194,1261,933,114,43,44,74,13,33,55,166,124,198,57,5,3,4,0,0
2021,Bury 009A,E01004947,1548,1369,179,24,11,7,13,5,2,9,30,27,43,8,0,0,0,0,0
2021,Bury 009B,E01004948,1872,1654,218,28,14,10,15,2,1,8,43,41,41,12,1,1,1,0,0
2021,Bury 009C,E01004962,2013,1882,131,21,12,6,9,4,3,7,12,23,28,4,0,2,0,0,0
2021,Bury 009D,E01004964,1855,1694,161,23,7,3,10,1,8,7,31,33,29,8,0,1,0,0,0
2021,Bury 010A,E01004949,1414,1348,66,9,6,4,7,2,2,4,10,8,13,1,0,0,0,0,0
2021,Bury 010B,E01004950,1490,1450,40,11,1,0,0,0,3,8,5,7,4,1,0,0,0,0,0
2021,Bury 010C,E01004951,1564,1468,96,13,6,2,11,3,2,10,14,15,16,4,0,0,0,0,0
2021,Bury 010D,E01004952,1331,1236,95,16,7,2,5,2,4,4,12,16,19,7,0,1,0,0,0
2021,Bury 010E,E01004953,1533,1444,89,17,8,4,6,0,5,5,11,19,11,0,2,1,0,0,0
